id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/2095424	10.2307/2095424	The Origins of Contemporary Eminent Black Americans: A Three-Generation Analysis of Social Origin	Elizabeth I. Mullins, Paul Sites	American Sociological Review	49	5	1984-10-01T00:00:00Z	pp. 672-685	American Sociological Association	fla		Stratification literature documents the importance of social inheritance in attaining elite status and recognizes that resources for status attainment vary with social group and historical era. This study focuses on resources historically specific to the black experience in examining the social inheritance of stratification in the black community. Using a random sample of eminent blacks and data on female and male lineages, contemporary eminent blacks were found to be predominantly the descendants of families characterized by antebellum freedom, lighter skin, urban residence and higher education and occupational attainment. Mothers were important in the transmission of achievement values, often making a critical difference. Importance of family was demonstrated by the educational attainment of siblings.	
10.2307/2094730	10.2307/2094730	Aligning Actions	Randall Stokes, John P. Hewitt	American Sociological Review	41	5	1976-10-01T00:00:00Z	pp. 838-849	American Sociological Association	fla		Structural and interactionist theory share a parallel set of weaknesses in their ability to account adequately for the relationship between culture and action. Structural theory takes socialization as the major link between culture and conduct and thus generates an overdetermined and unrealistically rigid view of action. Interactionist theory, because of its focus on the improvisational and emergent character of action, finds it difficult to account for the massive fact that patterns of belief and action persist over time. The concept of aligning actions provides a bridge between structural and interactionist perspectives, lending the former a more satisfactory view of the formation of conduct and the latter a means of explaining persistence.	
10.2307/2094348	10.2307/2094348	The Labelling Theory of Mental Illness: A Reply to Scheff	Walter R. Gove	American Sociological Review	40	2	1975-04-01T00:00:00Z	pp. 242-248	American Sociological Association	fla			
10.2307/2094510	10.2307/2094510	Poverty and Infant Mortality in the United States	Steven L. Gortmaker	American Sociological Review	44	2	1979-04-01T00:00:00Z	pp. 280-297	American Sociological Association	fla		This paper examines the theoretical and empirical relationship of income poverty to infant mortality differentials in the comtemporary United States. Using national data gathered in 1964-65, this study estimates the relative impact of a variety of biological, social, and economic factors upon the risk of infant death. Methods for the analysis of multidimensional contingency tables permit the combination of birth and death data, and coefficient estimates from these models provide estimates of the relative risks of infant death observed in various subpopulations. Within the white population of legitimate births in 1964-65, coefficient estimates indicate that poverty is associated with relative risks of neonatal and postneonatal mortality 1.5 times greater than that experienced by infants not born in poverty, independent of a variety of maternal and familial characteristics and the birth weight of the infant. Hospital care during the neonatal period, however, appears to attenuate this increased risk for some high risk infants. The estimated direct effects of poverty upon infant mortality are larger than the effects of poverty mediated by the birth weight of the infant. The persistence of poverty and the continuing unequal distribution of health care resources to pregnant women and young mothers in the United States imply the reproduction of these differentials to the present day. Increasing access to health services and increased help to families through income supports and employment programs are indicated as possible policy actions to reduce these differentials.	
10.2307/2095168	10.2307/2095168	Tacit Convention Two: A Disquisition on Smith	William Rau	American Sociological Review	47	5	1982-10-01T00:00:00Z	pp. 693-696	American Sociological Association	fla			
10.2307/2094824	10.2307/2094824	The Ghost Dance and the Policy of Land Allotment	Gail Landsman	American Sociological Review	44	1	1979-02-01T00:00:00Z	pp. 162-166	American Sociological Association	fla			
10.2307/2094966	10.2307/2094966	Major Labor Disputes in Britain, 1902-1938: The Relationship Between Resource Expenditure and Outcome	Charles C. Ragin, Shelley Coverman, Mark Hayward	American Sociological Review	47	2	1982-04-01T00:00:00Z	pp. 238-252	American Sociological Association	fla		While there have been many studies of the frequency of strikes, only a few researchers (e.g., Snyder and Kelly, 1976) have studied strike outcomes. This topic has been ignored partly because the dominant perspective in the study of industrial conflict, the resource mobilization perspective, treats strikes as acts that contribute primarily to workers' long-term political interests. We argue that strikes are at least as much acts of economic instrumentalism as they are political acts and that the resource mobilization perspective should address strike outcomes. In this study of the relationship between resource expenditure and strike outcomes, we pay special attention to the way change in the status of a "contender" (Tilly, 1978) affects the relationship between resource expenditure and outcome. Our analysis of the outcomes of 753 major labor disputes in Britain over the 1902 to 1938 period shows that labor's change from challenger to member status improved its returns to collective action.	
10.2307/2094576	10.2307/2094576	Notes on the Criminogenic Hypothesis: A Case Study of the American Liquor Industry	Norman K. Denzin	American Sociological Review	42	6	1977-12-01T00:00:00Z	pp. 905-920	American Sociological Association	fla		This case study of a single economic enterprise, stressing a symbolic interactionist perspective, examines the five tiers which make up the American liquor industry: distillers, distributors, retailers, drinkers and the legal order. Consistent with the interactionist method, attention is given to the relationships and actions that constitute the worlds of this social structure. The alcoholic beverage and the drinker-consumer relationship is a central focus of attention from level to level within the tiers of the industry. Special attention is given to criminogenic activities within and among the five tiers of this industry. The historical context and social interactions from which these activities arise are given emphasis. Finally, a tentative schema is suggested for analyzing criminogenic activities within the American liquor industry and, perhaps, within other industries as well.	
10.2307/2095141	10.2307/2095141	The Interaction Order: American Sociological Association, 1982 Presidential Address	Erving Goffman	American Sociological Review	48	1	1983-02-01T00:00:00Z	pp. 1-17	American Sociological Association	fla			
10.2307/2095058	10.2307/2095058	Errata: "Measures of Inequality"		American Sociological Review	46	3	1981-06-01T00:00:00Z	p. iv	American Sociological Association	fla			
10.2307/2094880	10.2307/2094880	Equal Employment Opportunity Legislation and the Income of Women and Nonwhites	Paul Burstein	American Sociological Review	44	3	1979-06-01T00:00:00Z	pp. 367-391	American Sociological Association	fla		This article examines the impact of federal equal employment opportunity legislation on the income of white women, nonwhite women, and nonwhite men relative to the income of white men at the national level since the late 1940s. The analysis differs from those previously published in comparing all groups with white men, including changes in attitudes in the analysis, and dealing in detail with enforcement of the laws. The model developed in the article works well when used to examine increases in nonwhite income, but does not deal satisfactorily with the incomes of white women. The findings indicate that there are important differences between race and sex discrimination which will have to be taken into account in theories of labor market discrimination.	
