id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.1086/657352	10.1086/657352	Moving Teenagers Out of High-Risk Neighborhoods: How Girls Fare Better than Boys	Susan Clampet-Lundquist, Kathryn Edin, Jeffrey R. Kling, Greg J. Duncan	American Journal of Sociology	116	4	2011-01-01T00:00:00Z	pp. 1154-89	The University of Chicago Press	fla		Moving to Opportunity (MTO) offered public housing residents the opportunity to move to low-poverty neighborhoods. Several years later, boys in the experimental group fared no better on measures of risk behavior than their control group counterparts, whereas girls in the experimental group engaged in lower-risk behavior than control group girls. The authors explore these differences by analyzing data from in-depth interviews conducted with 86 teens in Baltimore and Chicago. They find that daily routines, fitting in with neighborhood norms, neighborhood navigation strategies, interactions with peers, friendship making, and distance from father figures may contribute to how girls who moved via MTO benefited more than boys.	
10.1086/588741	10.1086/588741	What Can We Learn about Neighborhood Effects from the Moving to Opportunity Experiment?	Jens Ludwig, Jeffrey B. Liebman, Jeffrey R. Kling, Greg J. Duncan, Lawrence F. Katz, Ronald C. Kessler, Lisa Sanbonmatsu	American Journal of Sociology	114	1	2008-07-01T00:00:00Z	pp. 144-188	The University of Chicago Press	fla		Experimental estimates from Moving to Opportunity (MTO) show no significant impacts of moves to lower‐poverty neighborhoods on adult economic self‐sufficiency four to seven years after random assignment. The authors disagree with Clampet‐Lundquist and Massey's claim that MTO was a weak intervention and therefore uninformative about neighborhood effects. MTO produced large changes in neighborhood environments that improved adult mental health and many outcomes for young females. Clampet‐Lundquist and Massey's claim that MTO experimental estimates are plagued by selection bias is erroneous. Their new nonexperimental estimates are uninformative because they add back the selection problems that MTO's experimental design was intended to overcome.	
10.1086/655751	10.1086/655751	The Structure of Educational Decision Making and Consequences for Inequality: A Swedish Test Case	Martin Hällsten	American Journal of Sociology	116	3	2010-11-01T00:00:00Z	pp. 806-54	The University of Chicago Press	fla		Class differences in educational decision making are important for inequality. A unique Swedish population-level database of university applications and individuals’ ranking of different programs is used to analyze class differences in preferences for different program characteristics. Compared to individuals from service class backgrounds, individuals from manual labor class backgrounds choose programs of shorter duration with lower grade point requirements located closer to their parents’ home. Children from the service class instead prefer programs with higher earnings risk and avoid nontraditional institutions. Taken together, the differences in degree choice lead to substantial differences in expected earnings levels and expected unemployment risks.	
10.1086/231326	10.1086/231326	Big Business, Strong State: Collusion and Conflict in South Korean Development, 1960–1990 by Eun Mee Kim	Changwon Lee	American Journal of Sociology	103	4	1998-01-01T00:00:00Z	pp. 1117-1118	The University of Chicago Press	fla			
10.1086/591951	10.1086/591951	Contents of Volume 113		American Journal of Sociology	113	6	2008-05-01T00:00:00Z	pp. 1805-1817	The University of Chicago Press	fla			
10.1086/511801	10.1086/511801	Assimilation and Gender in Naming	Christina A. Sue, Edward E. Telles	American Journal of Sociology	112	5	2007-03-01T00:00:00Z	pp. 1383-1415	The University of Chicago Press	fla		This article examines the naming practices of Hispanic parents who gave birth to children in Los Angeles County in 1995. The authors find that greater exposure to U.S. culture increases the chances of naming a child in English. However, they find that by giving children English names that are translatable into Spanish, U.S.‐born Hispanic parents are able simultaneously to assimilate while maintaining a connection to their ethnic origins. In addition, the authors find that attitudes favoring assimilation are particularly great when naming daughters. Immigrant Hispanic couples tend to give sons Spanish names, but they often give daughters English names without Spanish referents. These gender differences persist even among U.S.‐born Hispanics paired with non‐Hispanics. Among intermarried couples, father’s ethnicity has a disproportionately large influence in naming, especially for sons’ names. These findings have implications for how the assimilation process is gendered.	
10.1086/603536	10.1086/603536	Religious Attendance in Cross-National Perspective: A Multilevel Analysis of 60 Countries	Stijn Ruiter, Frank van Tubergen	American Journal of Sociology	115	3	2009-11-01T00:00:00Z	pp. 863-895	The University of Chicago Press	fla		Why are some nations more religious than others? This article proposes a multilevel framework in which country differences in religious attendance are explained by contextual, individual, and cross‐level interaction effects. Hypotheses from different theories are simultaneously tested with data from 60 nations obtained from the European/World Values Surveys. Multilevel logistic regression analyses show that religious regulation in a country diminishes religious attendance and that there are only small negative effects of people's own education and average educational level of the country. Religious attendance is strongly affected by personal and societal insecurities and by parental and national religious socialization and level of urbanization. These theories explain 75% of the cross‐national variation in religious attendance.	
10.1086/210282	10.1086/210282	<i>The Future of Anomie Theory,</i> edited by Nikos Passas and Robert Agnew	John H. Gagnon	American Journal of Sociology	105	1	1999-07-01T00:00:00Z	pp. 257-258	The University of Chicago Press	fla			
10.1086/231117	10.1086/231117	<i>Selling the Air: A Critique of the Policy of Commercial Broadcasting in the United States</i> by Thomas Streeter	William Hoynes	American Journal of Sociology	102	5	1997-03-01T00:00:00Z	pp. 1494-1496	The University of Chicago Press	fla			
10.1086/653600	10.1086/653600	A Multilevel Systemic Model of Community Attachment: Assessing the Relative Importance of the Community and Individual Levels	Jeremy Flaherty, Ralph B. Brown	American Journal of Sociology	116	2	2010-09-01T00:00:00Z	pp. 503-542	The University of Chicago Press	fla		To what extent does community context affect individuals’ social ties and levels of community attachment? The authors replicate Sampson’s multilevel version of Kasarda and Janowitz’s systemic model of community using data from a survey of nearly 10,000 people residing in 99 small Iowa communities. They improve on Sampson’s work by using multilevel statistical tools, better measurement of community attachment, and data from 99 actual communities. While the authors find general support for the systemic model, their results suggest that the community one lives in actually has little effect on one’s level of community attachment, calling into question many of the basic assumptions and findings of past community research.	
10.1086/323151	10.1086/323151	It’s about Time and Gender: Spousal Employment and Health	Ross M. Stolzenberg	American Journal of Sociology	107	1	2001-07-01T00:00:00Z	pp. 61-100	The University of Chicago Press	fla		This article considers the effect of husbands’ and wives’ hours of work on each others’ health. Theoretical analysis focuses on gendering of health‐related behavior, the time needed to promote a spouse's salubrious behavior, and the effects of work hours on the availability of time for nonwork activities. Empirical analyses are based on 1986 and 1989 longitudinal U.S. data. Fewer than 40 hours of work per week by wives has no effect on husbands’ health, but more than 40 hours has substantial negative effect. Long work hours by husbands are not detrimental to wives’ health. Wives’ work hours shows no effect on their own health, but husbands’ work hours show strong positive effect on their own health. Methodological issues are considered.	
10.1086/231347	10.1086/231347	Immigration and the Family: Research and Policy on U.S. Immigrants, edited by Alan Booth, Ann C. Crouter, and Nancy Landale	Nancy Foner	American Journal of Sociology	103	4	1998-01-01T00:00:00Z	pp. 1156-1158	The University of Chicago Press	fla			
10.1086/661204	10.1086/661204	Book Reviewers for Volume 116		American Journal of Sociology	116	6	2011-05-01T00:00:00Z	pp. 2091-2092	The University of Chicago Press	fla			
10.1086/649576	10.1086/649576	Interneighborhood Migration, Race, and Environmental Hazards: Modeling Microlevel Processes of Environmental Inequality	Kyle Crowder, Liam Downey	American Journal of Sociology	115	4	2010-01-01T00:00:00Z	pp. 1110-1149	The University of Chicago Press	fla		This study combines longitudinal individual‐level data with neighborhood‐level industrial hazard data to examine the extent and sources of environmental inequality. Results indicate that profound racial and ethnic differences in proximity to industrial pollution persist when differences in individual education, household income, and other microlevel characteristics are controlled. Examination of underlying migration patterns further reveals that black and Latino householders move into neighborhoods with significantly higher hazard levels than do comparable whites and that racial differences in proximity to neighborhood pollution are maintained more by these disparate mobility destinations than by differential effects of pollution on the decision to move.	
10.1086/210274	10.1086/210274	<i>The Myth of Green Marketing: Tending Our Goats at the Edge of Apocalypse</i> by Toby M. Smith	John C. Leggett	American Journal of Sociology	105	1	1999-07-01T00:00:00Z	pp. 241-242	The University of Chicago Press	fla			
10.1086/497307	10.1086/497307	Denomination, Religious Context, and Suicide: Neo‐Durkheimian Multilevel Explanations Tested with Individual and Contextual Data	Frank van Tubergen, Manfred te Grotenhuis, Wout Ultee	American Journal of Sociology	111	3	2005-11-01T00:00:00Z	pp. 797-823	The University of Chicago Press	fla		In Suicide, Durkheim found that involvement in religious communities is inversely related to suicide risk. In this article, two explanations for this relationship are examined. One is that religious networks provide support. The other is that religious communities prohibit suicide. To examine these hypotheses, individual‐level data on suicide in the Netherlands from 1936 to 1973 are used. The results show that with an increase in the proportion of religious persons in a municipality, the chances of committing suicide decrease for every denomination in that municipality, as well as among nonchurch members. Furthermore, along with the secularization of Dutch society, the impact of religious composition on suicide wanes. These results contradict the network‐support mechanism and confirm the notion that religious communities have a general protective effect against suicide.	
10.1086/511839	10.1086/511839	Contents of Volume 110		American Journal of Sociology	110	6	2005-05-01T00:00:00Z	pp. 1863-1876	The University of Chicago Press	fla			
10.1086/210269	10.1086/210269	Structure and Strategy in Collective Action	Michael Suk‐Young Chwe	American Journal of Sociology	105	1	1999-07-01T00:00:00Z	pp. 128-156	The University of Chicago Press	fla		This article considers both structural and strategic influences on collective action. Each person in a group wants to participate only if the total number taking part is at least her threshold; people use a network to communicate their thresholds. People are strategically rational in that they are completely rational and also take into account that others are completely rational. The model shows first that network position is much more important in influencing the revolt of people with low thresholds than people with high thresholds. Second, it shows that strong links are better for revolt when thresholds are low, and weak links are better when thresholds are high. Finally, the model generalizes the threshold models of Schelling (1978) and Granovetter (1978) and shows that their findings that revolt is very sensitive to the thresholds of people “early” in the process depends heavily on the assumption that communication is never reciprocal.	
10.1086/320301	10.1086/320301	One Way or Multiple Paths: For a Comparative Sociology of East European Capitalism	David Stark, László Bruszt	American Journal of Sociology	106	4	2001-01-01T00:00:00Z	pp. 1129-1137	The University of Chicago Press	fla			
10.1086/231312	10.1086/231312	The New Temperance: The American Obsession with Sin and Vice by David Wagner	John C. Burnham	American Journal of Sociology	103	4	1998-01-01T00:00:00Z	pp. 1089-1091	The University of Chicago Press	fla			
10.1086/210313	10.1086/210313	<i>For the Sake of the Children: The Social Organization of Responsibility in the Hospital and the Home</i> by Carol A. Heimer and Lisa R. Staffen	Monica J. Casper	American Journal of Sociology	105	1	1999-07-01T00:00:00Z	pp. 317-319	The University of Chicago Press	fla			
10.1086/210139	10.1086/210139	Nominal, Ordinal, and Narrative Appraisal in Macrocausal Analysis	James Mahoney	American Journal of Sociology	104	4	1999-01-01T00:00:00Z	pp. 1154-96	The University of Chicago Press	fla		Macrocausal analysis is often characterized as following only a single strategy of causal inference. In fact, however, at least three different techniques are used: nominal, ordinal, and narrative strategies of causal assessment. Focusing on recent works of comparative history, this article presents an evaluation of the strengths and limitations of each strategy. In addition, it considers the trade‐offs involved in combining two or more strategies. Finally, the article discusses the role of scholarly tastes and skills, the research question, and ongoing research cycles in shaping the methodological approach selected by investigators.	
10.1086/674743	10.1086/674743	Misdemeanor Justice: Control without Conviction	Issa Kohler-Hausmann	American Journal of Sociology	119	2	2013-09-01T00:00:00Z	pp. 351-393	The University of Chicago Press	fla		Current scholarship has explored how the carceral state governs and regulates populations. This literature has focused on prison and on the wide-reaching collateral consequences of a felony conviction. Despite the obvious importance of these findings, they capture only a portion of the criminal justice system’s operations. In most jurisdictions, misdemeanors, not felonies, constitute the bulk of criminal cases, and the number of such arrests is rising. This article explores a puzzling fact about New York City’s pioneering experiment in mass misdemeanor arrests: the preponderance result in no finding of guilt and no assignment of formal punishment. Drawing on two years of fieldwork, this article explores how the criminal justice system functions to regulate significant populations without conviction or sentencing. The author details the operation of penal power through the techniques of marking through criminal justice record keeping, the procedural hassle of case processing, and mandated performance evaluated by court actors to show the social control capacity of the criminal justice system.	
10.1086/653541	10.1086/653541	The Civilizing Process and Its Discontents: Suicide and Crimes against Persons in France, 1825–1830	Hugh P. Whitt	American Journal of Sociology	116	1	2010-07-01T00:00:00Z	pp. 130-186	The University of Chicago Press	fla		A spatial analysis of data for French départements assembled in the 1830s by André‐Michel Guerry and Adolphe d’Angeville examines the impacts of modernization and resistance to governmental “Frenchification” policies on measures of violence and its direction. In the context of Unnithan et al.’s integrated model of suicide and homicide, high suicide rates in the northern core and a predilection for violence against others in the southern periphery may be consistently interpreted in terms of theories of the civilizing process and internal colonialism. Alternative explanations of southern violence in 19th‐century France are explored and rejected, and additional theoretical applications are suggested.	
10.1086/668647	10.1086/668647	Contributors		American Journal of Sociology	118	2	2012-09-01T00:00:00Z	p. iv	The University of Chicago Press	fla			
10.1086/210295	10.1086/210295	<i>Social Learning and Social Structure: A General Theory of Crime and Deviance</i> by Ronald L. Akers	Michael R. Gottfredson	American Journal of Sociology	105	1	1999-07-01T00:00:00Z	pp. 283-284	The University of Chicago Press	fla			
10.1086/339225	10.1086/339225	Revisiting the Relationships among Gender, Marital Status, and Mental Health	Robin W. Simon	American Journal of Sociology	107	4	2002-01-01T00:00:00Z	pp. 1065-1096	The University of Chicago Press	fla		Three decades ago, Gove introduced his sex‐role theory of mental illness, which attributes women’s higher rates of psychological distress to their roles in society. Central to his hypothesis is that marriage is emotionally advantageous for men and disadvantageous for women. This article revisits this topic with data from the National Survey of Families and Households. The analyses indicate that the emotional benefits of marriage apply equally to men and women, but that men and women respond to marital transitions with different types of emotional problems. The implications of these findings for future research on gender and mental health are discussed.	
10.1086/231399	10.1086/231399	Ecologies of Social Movements: Student Mobilization during the 1989 Prodemocracy Movement in Beijing	Dingxin Zhao	American Journal of Sociology	103	6	1998-05-01T00:00:00Z	pp. 1493-1529	The University of Chicago Press	fla		Based on 70 interviews with informants who were mostly students during the 1989 Beijing student movement, the author found that the ecology of university campuses in Beijing enclosed a huge number of students in a small area with a unique spatial distribution and regulated their spatial activities. This ecology nurtured many close–knit student networks, as well as directly exposed all Beijing students to a collective action environment when the movement started. These ecological conditions not only sustained a high rate of movement participation but also facilitated the formation of many ecology–dependent strategies of student mobilization, which in turn patterned the dynamics of the movement.	
10.1086/670253	10.1086/670253	Quantitative Cross-National Sociology and the Methodological Abyss: Comment on Alcacer and Ingram	Andrew Schrank	American Journal of Sociology	118	4	2013-01-01T00:00:00Z	pp. 1099-1111	The University of Chicago Press	fla			
10.1086/422587	10.1086/422587	The Changing Color of Welfare? How Whites’ Attitudes toward Latinos Influence Support for Welfare	Cybelle Fox	American Journal of Sociology	110	3	2004-11-01T00:00:00Z	pp. 580-625	The University of Chicago Press	fla		This article uses the National Election Study to consider how stereotypes about Latinos influence white support for welfare. It shows that whites' stereotypes about Latino work ethic grow more positive as the size of the Latino population increases, suggesting positive effects of contact. Moreover, the effect of whites’ stereotypes about Latino—but not black—work ethic on support for welfare is contingent on ethnic context. In areas with few Latinos, the lazier whites think Latinos are, the less whites want to spend on welfare. However, in areas that are disproportionately Latino the more hardworking whites think Latinos are (controlling for whites' stereotypes about blacks), the less whites want to spend on welfare as well. This last result, this article argues, is the product of a social comparison between black and Latino work ethic.	
10.1086/210221	10.1086/210221	Sociobiology, Status, and Parental Investment in Sons and Daughters: Testing the Trivers‐Willard Hypothesis	Jeremy Freese, Brian Powell	American Journal of Sociology	104	6	1999-05-01T00:00:00Z	pp. 1704-1743	The University of Chicago Press	fla		While some dismiss sociobiological theories as untestable, post hoc explanations, this article argues that sociologists should instead increase their efforts to identify and engage those theories that have novel empirical implications. Regarding parental investment, Triv‐ers and Willard use Darwinian reasoning to hypothesize that high‐status parents favor sons over daughters and that low‐status parents favor daughters over sons. The application of this hypothesis to contemporary societies has been widely accepted by sociobiolo‐gists, although it has received little actual empirical scrutiny. The Trivers‐Willard hypothesis is tested in this study using two nationally representative surveys of American adolescents and their parents. Across several different measures of investment, little evidence of the predicted parental investment behaviors is found. This article seeks not only to contribute to settling the empirical point at issue but also to encourage a renewed and empirically focused dialogue between sociologists and sociobiologists.	
10.1086/426554	10.1086/426554	Dynamic Parties and Social Turnout: An Agent‐Based Model	James H. Fowler, Oleg Smirnov	American Journal of Sociology	110	4	2005-01-01T00:00:00Z	pp. 1070-1094	The University of Chicago Press	fla		The authors develop an agent‐based model of dynamic parties with social turnout built upon developments in different fields within social science. This model yields significant turnout, divergent platforms, and numerous results consistent with the rational calculus of voting model and the empirical literature on social turnout. In a simplified version of the model, the authors show how a local imitation structure inherently yields dynamics that encourage positive turnout. The model also generates new hypotheses about the importance of social networks and citizen‐party interactions.	
10.1086/231108	10.1086/231108	<i>Evangelism and Apostasy: The Evolution and Impact of Evangelicals in Modern Mexico</i> by Kurt Bowen	Elizabeth E. Brusco	American Journal of Sociology	102	5	1997-03-01T00:00:00Z	pp. 1478-1480	The University of Chicago Press	fla			
10.1086/231210	10.1086/231210	Collectivist versus Individualist Mobility Regimes? Structural Change and Job Mobility in Four Countries	Thomas A. Diprete, Paul M. De Graaf, Ruud Luijkx, Michael Tåhlin, Hans‐Peter Blossfeld	American Journal of Sociology	103	2	1997-09-01T00:00:00Z	pp. 318-58	The University of Chicago Press	fla		Job mobility is produced by structural forces of expansion and contraction as well as by individual choices. But labor market structure and welfare state policies will create distinctive national patterns of labor force adjustment to shifts in technology, markets, and the consequent demand for particular forms of labor. In a four‐nation comparative study, U.S. rates of job mobility showed the greatest sensitivity to structural change and to the labor market resources of individual workers. The Netherlands was at the opposite pole, with worker outcomes largely insulated from structural forces. Germany's strong labor market boundaries channeled adjustment within sectors or between employment and nonemployment, while Sweden's pattern was intermediate between that of the United States and Germany.	
10.1086/661594	10.1086/661594	Wealth and the Marital Divide	Daniel Schneider	American Journal of Sociology	117	2	2011-09-01T00:00:00Z	pp. 627-667	The University of Chicago Press	fla		Marriage patterns differ dramatically in the United States by race and education. The author identifies a novel explanation for these marital divides, namely, the important role of personal wealth in marriage entry. Using event-history models and data from the National Longitudinal Survey of Youth 1979 cohort, the author shows that wealth is an important predictor of first marriage and that differences in asset ownership by race and education help to explain a significant portion of the race and education gaps in first marriage. The article also tests possible explanations for why wealth plays an important role in first marriage entry.	
10.1086/210287	10.1086/210287	<i>The Politics of Downtown Development: Dynamic Political Cultures in San Francisco and Washington, D.C.</i> by Stephen J. McGovern	Dingxin Zhao	American Journal of Sociology	105	1	1999-07-01T00:00:00Z	pp. 266-268	The University of Chicago Press	fla			
10.1086/432566	10.1086/432566	Acknowledgments to Referees		American Journal of Sociology	110	6	2005-05-01T00:00:00Z	pp. 1859-1862	The University of Chicago Press	fla		The editors are indebted to their many colleagues who assist them in the assessment of manuscripts. These referees, who accept invitations to read and comment on papers, perform a continuous service to the profession. Their contribution to the AJS and to the discipline at large cannot be overstated. The following is a list of the people who read at least one manuscript in 2004. We take this opportunity to thank them.	
10.1086/231321	10.1086/231321	Interaction and Grammar, edited by Elinor Ochs, Emanuel A. Schegloff, and Sandra A. Thompson	Allen D. Grimshaw	American Journal of Sociology	103	4	1998-01-01T00:00:00Z	pp. 1106-1108	The University of Chicago Press	fla			
10.1086/651375	10.1086/651375	Panethnicity, Ethnic Diversity, and Residential Segregation	Ann H. Kim, Michael J. White	American Journal of Sociology	115	5	2010-03-01T00:00:00Z	pp. 1558-1596	The University of Chicago Press	fla		The theoretical and empirical implications of the structural basis of panethnicity and of the layering of ethnic boundaries in residential patterns are considered while simultaneously evaluating the “panethnic hypothesis,” the extent to which homogeneity within panethnic categories can be assumed. Results show a panethnic effect—greater residential proximity within panethnic boundaries than between, net of ethnic group size and metropolitan area—that is dependent on immigration. A lower degree of social distance between panethnic subgroups is observed for blacks, whites, and Latinos, and less for Asians, yet ethnonational groups continue to maintain some degree of distinctiveness within a racialized context.	
10.1086/210085	10.1086/210085	"We're No Angels": Realism, Rational Choice, and Relationality in Social Science	Margaret R. Somers	American Journal of Sociology	104	3	1998-11-01T00:00:00Z	pp. 722-784	The University of Chicago Press	fla		An alarm has been sounded that historical sociology is subverting the theoretical aims of social science. Criticizing an array of widely influential scholars, Kiser and Hechter propose that rational choice theory can avoid the trend toward "empiricism" that results from the import of history into sociology. Their position is based on theoretical realism–a radically antipositivist thesis that uses ontological and theoretical postulates to theorize about reality beyond positive appearance. A close examination of theoretical realism casts doubts on the epistemological foundations of rational choice theory. Relational realism, the alternative introduced here, places greater emphasis on the pragmatic elements of explanation, supporting a more relational, causal‐historical, and problem‐driven view of theory. A renewed appreciation of what is defined as Kuhn's historical episte‐mology provides the foundation for evaluating these competing research programs.	
10.1086/595941	10.1086/595941	Cumulative Gender Disadvantage in Contract Employment	Isabel Fernandez‐Mateo	American Journal of Sociology	114	4	2009-01-01T00:00:00Z	pp. 871-923	The University of Chicago Press	fla		Women’s wages do not grow with experience or tenure as much as men’s do. Many accounts of this cumulative gender disadvantage attribute it to women’s underinvestment in firm‐specific skills. Yet if that were true, this disadvantage would not exist where firm‐specific skills are not rewarded by the labor market. This article investigates this argument in the context of contract employment, where demand for firm specificity is minimal. Contrary to expectations, men still receive higher rewards than women over time. Drawing on quantitative evidence and qualitative fieldwork using job histories of high‐skill contractors affiliated with a staffing firm, the author finds support for two sources of women’s disadvantage: lower rates of movement across clients on the supply side and unmeasured demand‐side factors by which similar levels of tenure and client transitions accrue lower rewards to women. Implications for research on gender stratification and career advancement in nonformalized labor markets are discussed.	
10.1086/511842	10.1086/511842	Contents to Volume 108		American Journal of Sociology	108	6	2003-05-01T00:00:00Z	pp. 1446-1460	The University of Chicago Press	fla			
10.1086/515406	10.1086/515406	Acknowledgments to Referees		American Journal of Sociology	102	6	1997-05-01T00:00:00Z	pp. 1799-1802	The University of Chicago Press	fla			
10.1086/231343	10.1086/231343	Homicide, Race, and Justice in the American West, 1880–1920 by Clare V. McKanna, Jr.	Richard Block	American Journal of Sociology	103	4	1998-01-01T00:00:00Z	pp. 1149-1150	The University of Chicago Press	fla			
10.1086/231135	10.1086/231135	<i>Detraditionalization: Critical Reflections on Authority and Identity,</i>edited by Paul Heelas, Scott Lash, and Paul Morris	David Ingram	American Journal of Sociology	102	6	1997-05-01T00:00:00Z	pp. 1727-1729	The University of Chicago Press	fla			
10.2307/2782025	10.2307/2782025	World-Economic Trends in the Distribution of Income, 1965-1992	Roberto Patricio Korzeniewicz, Timothy Patrick Moran	American Journal of Sociology	102	4	1997-01-01T00:00:00Z	pp. 1000-1039	The University of Chicago Press	fla		This article assesses trends in world income inequality between 1965 and 1992. The study first decomposes Theil's T to show that between-country inequality is the most significant component of overall world income inequality, which facilitates fruther research, as between-country longitudinal data are more easily available than national income distribution data. Next, the study uses a larger set of nations and finds a signigicant increase in world income inequality as measured by both Gini and Theil coefficients, particularly during the 1980s. The findings are robust even after controlling for differential rates of population growth or using alternative sources of data. By indentifying these trends, the article is able to explain past discrepancies and recent shifts in the relevant empirical and theoretical literature.	
10.1086/231332	10.1086/231332	When Work Disappears: The World of the New Urban Poor by William Julius Wilson	Joe R. Feagin	American Journal of Sociology	103	4	1998-01-01T00:00:00Z	pp. 1129-1130	The University of Chicago Press	fla			
10.1086/210468	10.1086/210468	Embedded Altruism: Blood Collection Regimes and the European Union's Donor Population	Kieran Healy	American Journal of Sociology	105	6	2000-05-01T00:00:00Z	pp. 1633-1657	The University of Chicago Press	fla		Blood donation is often cited as a perfect example of altruism. But blood must be collected as well as donated, and the organizational basis of the blood supply has been largely neglected. This article is a comparative study of blood collection regimes in Europe. Regimes are found to affect donation rates and donor profiles. When the Red Cross collects blood, donation is tied to religious activity and other volunteering, unlike state and blood bank systems. This study argues that collection regimes produce their donor populations by providing differing opportunities for donations. The analysis contributes to an institutional perspective on altruism and highlights the need to attend to the socially embedded nature of altruistic as well as self‐interested action.	
10.1086/661202	10.1086/661202	Contents of Volume 116		American Journal of Sociology	116	6	2011-05-01T00:00:00Z	pp. 2078-2090	The University of Chicago Press	fla			
