"","a","about","above","after","again","against","all","am","an","and","any","are","as","at","be","because","been","before","being","below","between","both","but","by","can","could","did","do","does","doing","down","during","each","few","for.","from","further","had","has","have","having","he","her","here","hers","herself","him","himself","his","how","i","if.","in.","into","is","it","its","itself","just","me","more","most","my","myself","no","nor","not","now","of","off","on","once","only","or","other","our","ours","ourselves","out","over","own","same","she","should","so","some","such","t","than","that","the","their","theirs","them","themselves","then","there","these","they","this","those","through","to","too","under","until","up","upon","very","was","we","were","what","when","where","which","while.","who","whom","why","will","with","would","you","your","yourselves","author"
"FEDERALIST.No..21",64,0,0,0,0,6,3,0,10,49,6,8,18,4,40,0,11,0,1,0,4,0,2,22,9,5,0,2,2,0,0,0,4,0,5,16,0,1,9,9,1,0,1,0,0,0,0,0,2,0,2,11,48,0,27,17,12,3,2,0,3,2,0,0,12,2,8,3,151,0,6,1,2,21,6,1,0,1,1,0,6,2,0,5,7,3,3,0,4,24,184,8,0,3,0,0,8,3,7,17,9,0,55,3,1,0,0,6,0,1,9,2,2,2,2,20,3,5,0,0,6,15,12,0,0,0,"HAMILTON"
"FEDERALIST.No..22",98,1,0,1,0,1,12,0,19,83,7,18,26,12,54,1,16,0,1,0,5,1,16,30,6,3,1,2,1,2,0,0,4,2,21,23,1,3,20,14,0,2,1,0,0,0,2,0,7,5,2,9,86,4,48,46,18,2,2,1,6,12,1,1,6,2,25,1,242,0,9,0,1,21,5,12,1,1,0,1,0,6,0,8,9,4,9,0,11,53,296,23,0,3,2,1,14,3,15,31,13,1,145,1,4,1,1,13,1,7,14,9,4,3,5,36,4,3,0,0,11,20,20,0,0,0,"HAMILTON"
"FEDERALIST.No..23",24,2,0,1,0,1,10,1,11,56,9,18,22,3,45,1,6,0,1,0,2,2,3,11,11,0,0,0,0,0,0,0,2,0,17,6,0,1,5,11,0,0,0,0,0,0,0,0,0,0,4,6,26,2,23,23,12,3,2,0,2,7,0,1,2,1,11,1,100,0,2,0,0,8,7,7,0,0,0,1,1,3,0,2,1,1,7,0,0,28,187,8,0,6,1,0,4,6,4,14,4,0,97,1,4,0,0,7,1,4,11,1,0,0,0,31,0,3,1,0,15,16,4,0,0,0,"HAMILTON"
"FEDERALIST.No..24",51,2,0,0,0,6,8,1,9,59,6,10,13,7,52,1,4,0,1,0,4,0,6,14,4,4,0,2,0,0,0,0,1,0,10,11,1,5,9,12,1,18,1,2,0,0,1,3,5,2,5,13,56,1,10,23,4,3,0,0,1,7,0,0,5,1,13,3,120,0,11,1,4,12,6,12,0,2,1,0,0,0,0,6,4,4,4,0,4,33,149,13,0,6,0,0,6,10,5,23,2,0,91,3,2,0,4,7,0,7,4,0,0,1,1,15,1,1,0,0,8,5,25,0,0,0,"HAMILTON"
"FEDERALIST.No..25",44,1,0,0,1,4,7,0,7,46,4,14,24,11,52,2,6,3,2,0,2,0,4,22,3,3,0,1,1,0,0,0,2,0,11,12,0,4,5,11,2,0,3,1,0,0,0,0,0,4,1,5,40,1,17,26,9,1,0,0,2,6,0,0,2,1,8,0,126,0,11,3,2,15,8,10,0,0,0,0,2,4,0,6,1,5,4,0,4,31,175,11,0,8,0,2,2,0,9,20,6,0,90,4,5,0,5,2,1,4,8,1,2,3,1,15,0,2,1,0,10,8,21,0,0,0,"HAMILTON"
"FEDERALIST.No..26",53,0,0,2,1,6,8,1,22,49,10,6,18,12,54,2,8,0,3,0,5,2,11,21,5,7,0,0,0,2,0,0,0,1,21,11,0,7,6,16,0,2,0,0,0,0,1,0,6,0,2,16,64,8,25,43,4,1,0,0,3,1,0,0,4,1,23,0,148,0,7,3,5,12,2,5,0,0,2,0,3,1,0,6,10,4,9,0,5,42,201,10,0,2,2,3,8,3,12,15,5,1,95,6,2,0,5,6,3,11,11,7,3,3,2,21,0,3,1,0,11,9,16,0,0,0,"HAMILTON"
"FEDERALIST.No..27",30,0,0,0,0,0,4,0,5,33,8,10,11,4,34,1,6,0,0,0,2,0,5,14,11,0,0,0,0,0,1,0,3,0,7,5,1,0,3,5,2,0,0,1,0,0,0,0,3,1,4,5,30,3,14,21,16,3,3,0,8,4,0,0,3,0,2,0,93,0,4,0,4,14,2,0,0,0,2,0,1,2,0,2,2,1,3,0,7,38,149,6,0,2,0,0,8,5,5,9,4,2,63,0,0,1,0,4,2,1,6,0,2,1,0,19,0,1,0,0,34,6,3,0,0,0,"HAMILTON"
"FEDERALIST.No..28",33,0,0,1,0,8,15,0,13,35,2,6,10,7,41,0,4,0,1,0,0,0,4,7,12,2,0,1,0,1,0,0,3,0,15,6,1,3,5,11,1,0,3,0,0,0,0,0,0,1,0,10,40,1,14,18,9,3,1,0,9,0,0,0,6,0,8,0,97,0,1,1,2,8,4,2,0,0,0,2,3,6,2,9,1,0,2,0,3,20,166,13,0,5,3,2,7,3,8,7,4,1,66,2,3,0,0,3,0,1,4,2,2,2,1,14,0,4,1,1,13,9,12,0,0,0,"HAMILTON"
"FEDERALIST.No..29",50,0,0,0,0,3,4,0,14,59,6,10,26,11,50,2,6,0,4,0,1,0,7,10,11,3,0,3,0,0,0,0,0,0,17,13,0,2,5,7,0,1,0,0,0,0,1,0,2,2,4,15,41,4,31,42,6,3,1,1,2,4,1,0,5,1,9,0,154,0,3,2,4,17,1,6,0,0,2,5,1,5,0,8,8,1,4,0,2,30,222,14,0,12,1,0,13,0,7,14,4,1,112,1,4,0,0,10,3,4,5,6,6,2,1,16,2,9,0,0,11,12,19,0,0,0,"HAMILTON"
"FEDERALIST.No..30",38,0,0,0,0,0,5,0,7,45,8,7,22,6,49,0,10,0,0,0,3,2,11,14,12,6,0,0,0,0,0,0,0,0,23,8,0,0,10,11,0,2,0,0,0,0,0,0,2,6,1,4,49,6,15,29,24,1,0,0,3,3,0,0,5,0,7,0,113,0,8,2,1,20,7,3,1,2,4,0,4,2,0,4,2,1,5,0,3,31,164,8,0,2,2,1,5,4,10,17,5,0,76,1,0,0,0,13,2,3,5,1,6,1,0,20,0,7,0,0,11,12,22,0,0,0,"HAMILTON"
"FEDERALIST.No..31",24,1,0,0,0,5,9,0,12,44,5,18,20,5,36,1,5,0,0,0,1,0,8,9,2,2,1,1,1,1,0,0,1,0,6,10,0,0,1,11,0,0,0,1,0,0,0,0,0,1,2,3,49,5,23,27,8,3,0,0,1,4,0,0,3,0,12,0,105,0,5,0,3,13,7,2,0,2,1,2,4,4,0,6,7,3,4,0,6,30,162,10,0,8,3,0,6,4,10,13,9,0,82,2,0,0,1,13,0,0,6,0,4,1,1,20,0,2,0,0,6,11,5,0,0,0,"HAMILTON"
"FEDERALIST.No..32",36,0,0,0,0,1,6,3,15,41,6,2,4,2,30,4,4,1,1,0,1,1,10,10,1,4,1,0,0,0,0,0,1,0,4,9,3,2,2,5,0,0,0,1,0,0,0,0,0,0,10,6,40,1,16,24,3,0,1,0,0,2,0,0,7,0,15,2,91,0,14,0,4,11,5,0,0,0,1,1,2,4,0,3,1,0,5,0,1,32,150,4,0,8,0,2,8,2,4,16,1,0,47,0,2,0,0,2,1,3,2,2,2,0,5,23,0,0,0,1,3,5,23,0,0,0,"HAMILTON"
"FEDERALIST.No..33",44,0,0,1,2,5,8,0,8,44,7,8,14,2,32,2,11,1,0,0,0,1,15,14,2,2,0,2,1,1,0,0,0,0,9,9,0,3,3,13,0,0,0,0,0,0,0,0,0,0,5,8,33,4,26,39,13,2,2,0,1,2,0,0,0,5,13,0,90,0,5,1,5,12,3,1,0,0,0,1,0,6,0,4,3,1,4,0,1,32,158,5,0,1,0,1,2,6,9,18,6,0,67,0,3,0,1,9,3,3,2,4,10,0,0,22,0,4,3,1,9,5,15,0,0,0,"HAMILTON"
"FEDERALIST.No..34",45,1,1,0,1,6,6,0,13,48,8,19,20,6,42,1,12,0,0,0,6,1,9,4,7,8,0,0,1,0,1,0,3,1,26,12,2,2,6,16,1,0,0,0,0,0,0,0,0,0,2,12,55,2,16,23,11,1,2,0,4,2,1,1,8,0,15,1,137,0,11,0,3,12,12,6,0,3,2,1,2,1,0,6,3,4,3,0,3,43,186,10,0,4,1,1,9,6,7,14,10,0,107,4,2,0,2,10,2,2,21,1,5,3,2,27,1,4,0,0,16,12,20,0,0,0,"HAMILTON"
"FEDERALIST.No..35",45,0,0,0,0,1,7,1,13,65,8,15,22,4,45,0,5,1,4,0,7,1,12,10,6,1,0,1,1,0,2,0,3,2,11,8,0,2,3,9,0,2,1,1,0,0,1,4,10,0,5,7,47,5,41,26,3,4,0,0,9,5,0,1,6,1,19,1,130,0,8,0,2,12,8,3,0,0,1,0,7,4,1,10,7,1,3,0,8,37,188,19,0,9,1,0,5,9,21,14,9,0,101,2,3,0,1,9,1,0,9,4,1,4,4,22,0,6,4,0,21,12,16,0,0,0,"HAMILTON"
"FEDERALIST.No..36",44,0,0,0,0,2,11,1,15,66,10,17,35,4,79,4,13,1,0,0,5,1,10,21,16,3,0,1,1,0,0,0,8,2,12,22,1,3,9,23,2,0,0,1,0,0,0,0,0,1,11,8,65,4,35,35,17,3,1,1,10,7,2,0,5,0,14,1,178,1,6,0,2,28,8,2,0,0,1,2,1,2,0,5,1,0,7,0,6,42,251,14,0,10,0,1,18,1,7,23,9,1,120,3,7,0,0,6,1,0,7,1,5,4,3,27,0,4,0,1,27,14,5,0,0,0,"HAMILTON"
"FEDERALIST.No..59",49,0,0,0,0,3,3,1,24,34,11,6,16,8,44,1,15,0,0,0,2,2,9,17,6,6,0,1,0,0,0,0,5,5,13,12,0,2,6,22,0,2,0,0,0,0,0,1,0,0,3,6,62,5,17,33,15,2,2,0,9,2,0,0,8,3,13,0,113,0,6,1,2,7,4,0,0,0,0,3,5,0,0,1,4,4,4,0,7,29,178,10,0,7,1,0,7,3,8,18,5,0,73,0,3,0,0,3,1,1,2,2,0,2,4,18,0,5,0,0,21,10,16,0,0,0,"HAMILTON"
"FEDERALIST.No..60",53,0,0,0,0,1,10,1,12,37,12,12,22,9,67,2,2,0,1,0,5,0,9,21,4,7,0,0,0,0,0,0,1,1,13,12,0,0,3,8,0,0,0,0,0,0,0,0,0,0,6,6,81,5,28,42,11,4,0,0,4,4,0,0,4,0,13,1,145,0,6,0,1,19,8,0,0,0,0,3,5,5,0,5,6,3,4,0,7,46,224,14,0,10,2,1,8,4,13,17,8,0,87,1,2,0,0,8,1,0,4,2,6,0,2,16,0,7,1,0,21,7,28,0,0,0,"HAMILTON"
"FEDERALIST.No..61",35,0,0,1,0,3,2,1,5,25,5,9,18,12,37,0,9,0,1,0,1,2,3,5,6,3,0,1,0,0,0,0,4,1,17,8,0,3,0,12,1,0,0,0,0,0,0,0,1,0,5,7,47,3,10,25,3,2,0,0,4,4,1,1,5,0,8,1,100,0,6,0,4,8,8,0,0,0,0,1,2,8,0,7,2,2,0,0,12,32,151,5,0,2,0,1,5,1,11,14,4,0,61,0,3,0,0,3,0,4,2,0,2,2,2,12,0,4,0,3,7,7,17,0,0,0,"HAMILTON"
"FEDERALIST.No..65",44,0,0,1,0,3,4,0,11,37,3,8,18,6,65,0,12,0,0,0,2,2,5,16,5,5,0,0,0,0,1,0,0,0,16,12,1,3,1,17,1,1,0,0,0,0,0,0,12,0,1,3,51,3,17,33,4,3,0,0,7,10,0,0,3,0,18,0,131,0,5,0,1,18,8,0,0,0,1,2,1,4,0,3,5,4,4,0,5,24,220,5,0,5,2,0,5,3,6,18,6,0,85,1,1,1,0,10,0,2,1,1,2,1,2,24,1,12,0,0,29,12,25,0,0,0,"HAMILTON"
"FEDERALIST.No..66",49,0,0,1,0,7,8,1,12,42,7,4,20,1,39,1,10,1,2,0,2,1,7,13,3,4,0,1,1,0,0,1,2,1,16,11,1,2,11,13,1,0,0,1,0,0,3,0,0,2,6,16,71,2,29,35,4,3,1,0,12,4,1,1,5,0,22,0,168,0,7,0,3,12,8,2,0,0,0,0,3,6,0,5,7,2,6,0,7,36,251,14,0,10,6,1,5,2,17,21,6,0,84,5,2,0,0,11,2,2,5,3,4,1,2,15,1,8,1,0,23,23,10,0,0,0,"HAMILTON"
"FEDERALIST.No..67",24,0,0,1,0,2,4,0,8,46,3,7,15,5,18,0,17,1,0,0,1,0,5,14,3,2,0,0,0,0,0,5,1,1,11,5,0,3,12,21,0,5,0,2,0,0,2,0,5,0,7,4,36,1,18,20,3,0,0,0,3,1,0,1,4,1,13,1,110,0,3,0,5,5,4,1,0,0,1,0,0,0,0,1,7,1,2,0,5,16,183,5,0,0,0,1,3,5,4,12,4,0,84,3,1,1,1,6,0,1,2,0,0,0,0,26,0,6,0,0,3,12,5,0,0,0,"HAMILTON"
"FEDERALIST.No..68",30,0,0,0,0,3,9,0,9,30,8,4,17,6,36,0,5,0,0,0,0,0,9,12,1,2,0,1,0,0,0,0,2,0,16,11,1,0,6,14,0,2,0,0,0,0,3,1,6,1,1,4,40,0,19,20,3,0,0,0,2,6,0,0,3,1,11,0,88,0,3,0,2,6,5,1,0,0,2,1,2,1,0,5,6,1,3,0,6,20,142,12,0,4,1,0,1,3,8,13,4,0,76,2,3,0,0,2,0,11,3,2,1,1,0,15,0,13,1,0,13,8,7,0,0,0,"HAMILTON"
"FEDERALIST.No..69",66,1,0,0,0,3,18,0,14,104,6,6,16,6,51,1,8,0,0,0,5,3,10,22,18,5,0,3,1,0,0,0,1,1,18,12,0,1,12,17,1,11,0,1,0,0,4,1,16,2,6,12,69,8,53,30,7,1,0,0,7,5,0,0,11,2,11,1,234,0,6,0,7,14,20,1,0,0,1,0,3,6,0,6,2,1,4,0,12,46,320,6,0,7,0,0,10,3,1,32,5,1,102,0,3,2,0,12,1,9,9,3,3,4,0,20,1,5,0,0,6,19,27,0,0,0,"HAMILTON"
"FEDERALIST.No..70",67,1,0,1,0,7,7,0,19,79,13,22,22,12,38,2,15,1,3,0,6,2,15,15,5,0,1,2,2,0,0,0,0,0,24,18,0,5,10,29,0,4,0,3,0,0,5,2,13,5,10,10,87,3,49,38,8,0,1,0,17,11,1,0,11,0,15,2,185,0,14,1,4,22,3,1,0,1,2,0,2,1,0,7,11,2,5,0,14,35,288,22,0,6,2,1,14,8,30,16,9,0,120,5,4,1,0,6,1,6,6,7,6,6,2,27,2,16,6,0,11,19,11,0,0,0,"HAMILTON"
"FEDERALIST.No..71",45,1,0,0,0,1,2,0,9,39,7,5,17,8,38,0,5,1,1,0,2,3,6,15,2,0,0,1,1,0,2,0,0,0,10,15,0,4,5,9,0,14,0,0,0,0,3,5,19,1,1,9,39,0,14,30,3,1,1,0,6,1,0,0,1,0,7,0,100,0,7,0,2,17,11,0,0,0,0,2,2,3,0,6,5,2,5,0,5,22,180,14,0,3,3,1,3,0,17,8,3,0,78,2,2,0,0,3,6,5,2,3,5,2,0,19,1,7,2,0,7,14,16,0,0,0,"HAMILTON"
"FEDERALIST.No..72",55,0,0,2,0,0,4,0,12,52,2,7,16,12,41,0,4,3,1,0,1,0,5,17,2,7,0,0,0,4,0,0,0,1,14,14,0,8,5,7,0,26,0,0,0,0,7,5,35,1,2,5,35,0,24,22,7,0,0,0,10,8,0,0,6,2,13,0,120,0,6,1,1,16,2,0,0,0,1,1,3,4,0,0,1,3,7,0,7,19,178,12,0,5,3,1,9,7,10,10,1,0,99,3,2,0,1,5,2,4,3,4,5,9,4,20,2,4,2,0,7,10,25,0,0,0,"HAMILTON"
"FEDERALIST.No..73",64,1,0,0,0,5,8,0,9,42,12,8,11,10,49,2,15,0,3,0,1,2,10,27,3,2,0,2,1,1,0,2,4,2,14,13,1,2,14,15,1,10,0,0,0,0,7,3,25,1,2,5,62,4,29,43,9,3,1,0,10,1,0,0,5,7,13,1,143,0,5,1,3,24,12,2,0,0,0,4,1,5,0,7,5,2,2,0,14,40,207,8,0,5,1,0,5,2,14,27,6,1,83,6,3,0,0,13,5,2,0,3,2,3,0,20,0,8,1,0,19,15,29,0,0,0,"HAMILTON"
"FEDERALIST.No..74",27,0,0,0,0,2,1,0,7,23,3,3,10,2,24,0,2,0,2,0,0,1,2,2,0,1,0,0,0,0,0,0,2,0,9,3,0,3,2,5,0,1,0,0,0,0,2,0,1,0,3,3,24,2,11,14,3,3,0,0,1,3,0,0,0,0,4,0,83,0,4,1,1,12,4,0,0,0,2,0,0,2,0,2,3,0,3,0,2,13,104,2,0,1,0,0,4,1,2,8,3,0,36,1,0,0,0,3,0,1,1,2,0,6,1,11,0,0,0,0,1,4,9,0,0,0,"HAMILTON"
"FEDERALIST.No..75",52,0,0,0,0,2,7,0,12,36,2,7,17,2,28,0,10,0,1,0,1,0,5,16,0,2,1,1,2,0,0,0,0,0,7,10,1,1,7,16,0,2,0,1,0,0,3,0,8,0,5,3,44,2,17,27,7,1,2,0,4,2,1,2,2,3,12,2,149,0,5,0,4,9,4,2,0,0,1,0,1,2,0,0,6,2,2,0,8,35,208,2,0,5,0,1,3,1,3,14,4,0,91,1,5,0,0,5,4,2,7,0,0,4,3,17,5,2,1,0,6,15,27,0,0,0,"HAMILTON"
"FEDERALIST.No..76",51,0,0,0,0,2,5,0,16,55,6,5,18,5,73,1,10,0,1,0,3,2,7,25,2,7,0,1,0,0,1,4,1,0,12,12,0,2,5,20,1,9,0,2,0,0,3,3,19,0,4,3,59,0,22,29,6,0,0,0,6,5,0,0,6,1,14,0,138,0,4,0,3,26,10,2,0,1,4,2,1,2,0,2,2,5,7,0,8,39,210,7,0,4,2,1,7,1,9,18,7,0,96,2,7,0,1,10,1,2,4,3,2,3,1,21,2,16,0,0,27,9,28,4,0,0,"HAMILTON"
"FEDERALIST.No..77",64,1,0,0,0,1,10,0,19,41,6,6,18,6,38,2,9,0,2,0,0,1,4,16,8,6,0,1,1,0,0,0,2,3,19,13,0,3,9,13,1,6,0,1,0,0,6,2,6,1,9,6,60,0,21,29,6,0,0,0,7,3,1,0,2,3,6,1,144,0,3,1,4,9,5,0,0,0,1,3,1,2,0,2,4,6,6,0,6,32,182,12,0,5,1,0,3,2,5,17,1,0,72,2,1,0,1,10,1,2,2,2,9,4,1,15,1,3,1,0,10,6,32,0,0,0,"HAMILTON"
"FEDERALIST.No..78",58,0,2,0,0,3,7,0,16,74,9,13,30,3,66,2,9,1,3,0,6,3,16,25,18,1,0,3,1,0,1,1,4,2,15,27,1,3,6,19,1,2,0,2,0,0,0,0,2,0,5,10,68,2,49,54,13,1,0,0,4,2,0,0,18,2,18,3,188,0,10,0,7,19,13,2,0,0,3,1,2,1,0,5,7,3,7,0,10,68,313,32,0,11,6,2,12,4,20,26,10,1,128,1,3,1,0,9,2,2,2,1,2,1,4,33,0,5,0,0,14,12,19,0,0,0,"HAMILTON"
"FEDERALIST.No..79",23,0,0,0,0,0,2,0,2,24,8,6,5,5,30,0,5,0,1,0,2,1,3,4,7,1,0,1,0,0,0,1,0,2,15,7,0,0,8,6,0,1,0,1,0,0,1,0,2,2,3,2,35,1,11,13,2,0,0,0,5,2,0,0,4,1,8,0,55,0,5,0,3,4,2,2,0,0,1,2,3,1,0,2,1,3,5,0,7,19,89,12,0,1,0,1,3,1,4,8,0,0,42,2,1,0,0,2,1,1,4,0,1,1,1,12,0,4,0,0,7,4,5,0,0,0,"HAMILTON"
"FEDERALIST.No..80",38,0,0,0,0,5,19,0,8,68,7,21,20,3,48,0,14,0,1,0,26,0,4,13,5,2,0,1,0,1,2,0,2,0,12,7,0,1,6,19,2,1,0,0,0,0,0,0,2,0,3,5,47,1,23,31,10,2,4,0,2,5,0,0,7,1,15,1,169,0,9,0,2,22,7,1,0,0,3,1,4,8,0,4,5,8,6,0,4,25,255,6,0,6,1,1,7,12,8,14,15,0,114,1,11,0,1,6,0,3,2,2,6,0,5,44,0,0,0,0,16,11,10,0,0,0,"HAMILTON"
"FEDERALIST..No..81",87,0,0,0,0,6,13,3,22,88,15,15,46,7,85,1,22,0,3,1,4,10,20,32,6,5,0,1,2,1,0,1,3,0,21,20,0,4,12,23,2,0,0,2,0,0,0,0,0,2,11,6,135,2,61,65,10,0,0,1,4,3,2,0,8,4,26,6,248,0,16,4,6,21,6,4,0,0,5,1,2,9,0,8,5,6,13,0,6,49,389,11,0,16,0,1,19,5,11,44,12,1,163,5,5,1,1,13,3,2,2,3,2,2,3,41,2,5,0,2,30,14,21,0,0,0,"HAMILTON"
"FEDERALIST.No..82",22,0,0,0,0,0,7,2,10,41,1,11,15,2,36,0,1,0,2,0,2,1,4,4,5,1,0,1,0,1,1,0,1,0,4,14,1,0,0,7,0,0,0,1,0,0,0,0,0,0,9,2,38,1,16,13,4,0,1,1,1,5,0,0,4,1,13,1,94,0,0,0,5,13,2,1,0,0,1,0,1,1,0,5,1,1,6,1,3,19,168,6,0,4,0,2,0,6,10,14,6,1,83,0,2,0,0,4,0,1,2,1,2,1,4,18,0,0,0,0,7,6,11,0,0,0,"HAMILTON"
"FEDERALIST.No..83",139,0,0,0,0,6,28,0,20,121,16,43,54,19,105,7,36,2,5,0,9,3,25,82,6,6,1,4,4,1,0,0,5,0,39,22,2,5,22,54,2,0,5,1,0,1,0,1,1,2,22,24,213,2,116,102,21,3,2,4,23,12,6,2,22,2,36,7,331,0,18,1,9,26,21,6,2,1,3,1,7,9,2,9,7,8,10,0,16,121,485,16,0,21,2,1,22,15,29,60,13,0,219,5,10,1,0,20,2,4,5,2,2,1,7,79,4,10,0,1,24,30,48,0,0,0,"HAMILTON"
