"","a","about","above","after","again","against","all","am","an","and","any","are","as","at","be","because","been","before","being","below","between","both","but","by","can","could","did","do","does","doing","down","during","each","few","for.","from","further","had","has","have","having","he","her","here","hers","herself","him","himself","his","how","i","if.","in.","into","is","it","its","itself","just","me","more","most","my","myself","no","nor","not","now","of","off","on","once","only","or","other","our","ours","ourselves","out","over","own","same","she","should","so","some","such","t","than","that","the","their","theirs","them","themselves","then","there","these","they","this","those","through","to","too","under","until","up","upon","very","was","we","were","what","when","where","which","while.","who","whom","why","will","with","would","you","your","yourselves","author"
"FEDERALIST.No..16",37,0,0,0,0,6,9,0,13,42,11,3,19,11,55,2,7,0,1,0,3,0,6,13,1,13,0,2,0,0,1,0,1,0,9,11,0,5,7,12,0,0,0,1,0,0,0,0,0,1,1,14,39,3,14,37,17,2,0,0,6,5,0,1,6,2,20,1,143,0,4,2,3,17,2,2,0,0,0,1,2,4,0,6,3,3,4,0,4,16,193,12,0,6,2,0,4,2,15,18,10,3,89,1,2,0,0,6,2,0,4,7,2,4,0,22,0,5,0,0,5,13,36,0,0,0,"HAMILTON"
"FEDERALIST.No..17",30,0,0,0,0,2,12,1,9,52,2,5,3,7,24,1,3,1,1,0,4,2,3,9,2,1,0,0,0,0,0,0,2,0,11,5,1,3,4,4,1,1,0,0,0,0,0,0,7,0,2,2,29,3,11,16,6,1,0,1,9,3,1,0,0,0,4,0,110,1,2,0,0,13,7,2,0,0,1,6,0,3,0,2,4,1,0,0,5,21,162,10,0,8,1,0,4,0,7,11,9,2,58,4,2,0,0,6,0,6,1,4,1,1,0,24,0,2,1,0,12,10,12,0,0,0,"HAMILTON"
"FEDERALIST.No..21",64,0,0,0,0,6,3,0,10,49,6,8,18,4,40,0,11,0,1,0,4,0,2,22,9,5,0,2,2,0,0,0,4,0,5,16,0,1,9,9,1,0,1,0,0,0,0,0,2,0,2,11,48,0,27,17,12,3,2,0,3,2,0,0,12,2,8,3,151,0,6,1,2,21,6,1,0,1,1,0,6,2,0,5,7,3,3,0,4,24,184,8,0,3,0,0,8,3,7,17,9,0,55,3,1,0,0,6,0,1,9,2,2,2,2,20,3,5,0,0,6,15,12,0,0,0,"HAMILTON"
"FEDERALIST.No..22",98,1,0,1,0,1,12,0,19,83,7,18,26,12,54,1,16,0,1,0,5,1,16,30,6,3,1,2,1,2,0,0,4,2,21,23,1,3,20,14,0,2,1,0,0,0,2,0,7,5,2,9,86,4,48,46,18,2,2,1,6,12,1,1,6,2,25,1,242,0,9,0,1,21,5,12,1,1,0,1,0,6,0,8,9,4,9,0,11,53,296,23,0,3,2,1,14,3,15,31,13,1,145,1,4,1,1,13,1,7,14,9,4,3,5,36,4,3,0,0,11,20,20,0,0,0,"HAMILTON"
"FEDERALIST.No..23",24,2,0,1,0,1,10,1,11,56,9,18,22,3,45,1,6,0,1,0,2,2,3,11,11,0,0,0,0,0,0,0,2,0,17,6,0,1,5,11,0,0,0,0,0,0,0,0,0,0,4,6,26,2,23,23,12,3,2,0,2,7,0,1,2,1,11,1,100,0,2,0,0,8,7,7,0,0,0,1,1,3,0,2,1,1,7,0,0,28,187,8,0,6,1,0,4,6,4,14,4,0,97,1,4,0,0,7,1,4,11,1,0,0,0,31,0,3,1,0,15,16,4,0,0,0,"HAMILTON"
"FEDERALIST.No..24",51,2,0,0,0,6,8,1,9,59,6,10,13,7,52,1,4,0,1,0,4,0,6,14,4,4,0,2,0,0,0,0,1,0,10,11,1,5,9,12,1,18,1,2,0,0,1,3,5,2,5,13,56,1,10,23,4,3,0,0,1,7,0,0,5,1,13,3,120,0,11,1,4,12,6,12,0,2,1,0,0,0,0,6,4,4,4,0,4,33,149,13,0,6,0,0,6,10,5,23,2,0,91,3,2,0,4,7,0,7,4,0,0,1,1,15,1,1,0,0,8,5,25,0,0,0,"HAMILTON"
"FEDERALIST.No..25",44,1,0,0,1,4,7,0,7,46,4,14,24,11,52,2,6,3,2,0,2,0,4,22,3,3,0,1,1,0,0,0,2,0,11,12,0,4,5,11,2,0,3,1,0,0,0,0,0,4,1,5,40,1,17,26,9,1,0,0,2,6,0,0,2,1,8,0,126,0,11,3,2,15,8,10,0,0,0,0,2,4,0,6,1,5,4,0,4,31,175,11,0,8,0,2,2,0,9,20,6,0,90,4,5,0,5,2,1,4,8,1,2,3,1,15,0,2,1,0,10,8,21,0,0,0,"HAMILTON"
"FEDERALIST.No..26",53,0,0,2,1,6,8,1,22,49,10,6,18,12,54,2,8,0,3,0,5,2,11,21,5,7,0,0,0,2,0,0,0,1,21,11,0,7,6,16,0,2,0,0,0,0,1,0,6,0,2,16,64,8,25,43,4,1,0,0,3,1,0,0,4,1,23,0,148,0,7,3,5,12,2,5,0,0,2,0,3,1,0,6,10,4,9,0,5,42,201,10,0,2,2,3,8,3,12,15,5,1,95,6,2,0,5,6,3,11,11,7,3,3,2,21,0,3,1,0,11,9,16,0,0,0,"HAMILTON"
"FEDERALIST.No..27",30,0,0,0,0,0,4,0,5,33,8,10,11,4,34,1,6,0,0,0,2,0,5,14,11,0,0,0,0,0,1,0,3,0,7,5,1,0,3,5,2,0,0,1,0,0,0,0,3,1,4,5,30,3,14,21,16,3,3,0,8,4,0,0,3,0,2,0,93,0,4,0,4,14,2,0,0,0,2,0,1,2,0,2,2,1,3,0,7,38,149,6,0,2,0,0,8,5,5,9,4,2,63,0,0,1,0,4,2,1,6,0,2,1,0,19,0,1,0,0,34,6,3,0,0,0,"HAMILTON"
"FEDERALIST.No..28",33,0,0,1,0,8,15,0,13,35,2,6,10,7,41,0,4,0,1,0,0,0,4,7,12,2,0,1,0,1,0,0,3,0,15,6,1,3,5,11,1,0,3,0,0,0,0,0,0,1,0,10,40,1,14,18,9,3,1,0,9,0,0,0,6,0,8,0,97,0,1,1,2,8,4,2,0,0,0,2,3,6,2,9,1,0,2,0,3,20,166,13,0,5,3,2,7,3,8,7,4,1,66,2,3,0,0,3,0,1,4,2,2,2,1,14,0,4,1,1,13,9,12,0,0,0,"HAMILTON"
"FEDERALIST.No..29",50,0,0,0,0,3,4,0,14,59,6,10,26,11,50,2,6,0,4,0,1,0,7,10,11,3,0,3,0,0,0,0,0,0,17,13,0,2,5,7,0,1,0,0,0,0,1,0,2,2,4,15,41,4,31,42,6,3,1,1,2,4,1,0,5,1,9,0,154,0,3,2,4,17,1,6,0,0,2,5,1,5,0,8,8,1,4,0,2,30,222,14,0,12,1,0,13,0,7,14,4,1,112,1,4,0,0,10,3,4,5,6,6,2,1,16,2,9,0,0,11,12,19,0,0,0,"HAMILTON"
"FEDERALIST.No..30",38,0,0,0,0,0,5,0,7,45,8,7,22,6,49,0,10,0,0,0,3,2,11,14,12,6,0,0,0,0,0,0,0,0,23,8,0,0,10,11,0,2,0,0,0,0,0,0,2,6,1,4,49,6,15,29,24,1,0,0,3,3,0,0,5,0,7,0,113,0,8,2,1,20,7,3,1,2,4,0,4,2,0,4,2,1,5,0,3,31,164,8,0,2,2,1,5,4,10,17,5,0,76,1,0,0,0,13,2,3,5,1,6,1,0,20,0,7,0,0,11,12,22,0,0,0,"HAMILTON"
"FEDERALIST.No..31",24,1,0,0,0,5,9,0,12,44,5,18,20,5,36,1,5,0,0,0,1,0,8,9,2,2,1,1,1,1,0,0,1,0,6,10,0,0,1,11,0,0,0,1,0,0,0,0,0,1,2,3,49,5,23,27,8,3,0,0,1,4,0,0,3,0,12,0,105,0,5,0,3,13,7,2,0,2,1,2,4,4,0,6,7,3,4,0,6,30,162,10,0,8,3,0,6,4,10,13,9,0,82,2,0,0,1,13,0,0,6,0,4,1,1,20,0,2,0,0,6,11,5,0,0,0,"HAMILTON"
"FEDERALIST.No..32",36,0,0,0,0,1,6,3,15,41,6,2,4,2,30,4,4,1,1,0,1,1,10,10,1,4,1,0,0,0,0,0,1,0,4,9,3,2,2,5,0,0,0,1,0,0,0,0,0,0,10,6,40,1,16,24,3,0,1,0,0,2,0,0,7,0,15,2,91,0,14,0,4,11,5,0,0,0,1,1,2,4,0,3,1,0,5,0,1,32,150,4,0,8,0,2,8,2,4,16,1,0,47,0,2,0,0,2,1,3,2,2,2,0,5,23,0,0,0,1,3,5,23,0,0,0,"HAMILTON"
"FEDERALIST.No..33",44,0,0,1,2,5,8,0,8,44,7,8,14,2,32,2,11,1,0,0,0,1,15,14,2,2,0,2,1,1,0,0,0,0,9,9,0,3,3,13,0,0,0,0,0,0,0,0,0,0,5,8,33,4,26,39,13,2,2,0,1,2,0,0,0,5,13,0,90,0,5,1,5,12,3,1,0,0,0,1,0,6,0,4,3,1,4,0,1,32,158,5,0,1,0,1,2,6,9,18,6,0,67,0,3,0,1,9,3,3,2,4,10,0,0,22,0,4,3,1,9,5,15,0,0,0,"HAMILTON"
"FEDERALIST.No..34",45,1,1,0,1,6,6,0,13,48,8,19,20,6,42,1,12,0,0,0,6,1,9,4,7,8,0,0,1,0,1,0,3,1,26,12,2,2,6,16,1,0,0,0,0,0,0,0,0,0,2,12,55,2,16,23,11,1,2,0,4,2,1,1,8,0,15,1,137,0,11,0,3,12,12,6,0,3,2,1,2,1,0,6,3,4,3,0,3,43,186,10,0,4,1,1,9,6,7,14,10,0,107,4,2,0,2,10,2,2,21,1,5,3,2,27,1,4,0,0,16,12,20,0,0,0,"HAMILTON"
"FEDERALIST.No..35",45,0,0,0,0,1,7,1,13,65,8,15,22,4,45,0,5,1,4,0,7,1,12,10,6,1,0,1,1,0,2,0,3,2,11,8,0,2,3,9,0,2,1,1,0,0,1,4,10,0,5,7,47,5,41,26,3,4,0,0,9,5,0,1,6,1,19,1,130,0,8,0,2,12,8,3,0,0,1,0,7,4,1,10,7,1,3,0,8,37,188,19,0,9,1,0,5,9,21,14,9,0,101,2,3,0,1,9,1,0,9,4,1,4,4,22,0,6,4,0,21,12,16,0,0,0,"HAMILTON"
"FEDERALIST.No..36",44,0,0,0,0,2,11,1,15,66,10,17,35,4,79,4,13,1,0,0,5,1,10,21,16,3,0,1,1,0,0,0,8,2,12,22,1,3,9,23,2,0,0,1,0,0,0,0,0,1,11,8,65,4,35,35,17,3,1,1,10,7,2,0,5,0,14,1,178,1,6,0,2,28,8,2,0,0,1,2,1,2,0,5,1,0,7,0,6,42,251,14,0,10,0,1,18,1,7,23,9,1,120,3,7,0,0,6,1,0,7,1,5,4,3,27,0,4,0,1,27,14,5,0,0,0,"HAMILTON"
"FEDERALIST.No..37",56,0,0,1,0,1,10,0,10,101,3,18,29,2,47,0,24,2,0,0,5,1,12,30,2,6,0,1,0,0,0,1,5,2,12,20,1,3,10,26,0,1,1,2,0,0,0,1,5,1,1,2,62,5,30,37,7,3,4,0,7,10,0,0,5,2,19,0,159,0,19,1,10,13,12,6,0,0,1,0,4,4,0,10,8,4,4,0,5,47,230,23,0,10,3,1,2,14,14,17,4,2,85,1,4,1,0,1,6,2,8,3,1,3,1,44,0,3,0,0,10,17,7,0,0,0,"MADISON"
"FEDERALIST.No..38",92,1,0,2,0,13,8,1,18,94,9,19,29,6,51,4,15,2,2,0,0,6,20,37,9,6,0,3,3,0,0,0,1,1,21,21,1,6,12,21,1,6,7,1,0,0,3,1,18,1,5,6,62,7,57,49,6,1,2,0,10,9,0,0,17,2,32,2,190,0,15,0,2,17,4,3,0,0,2,3,3,5,3,10,7,10,12,0,11,56,271,25,0,17,4,2,3,9,22,24,3,0,117,0,5,3,0,4,3,12,9,10,1,2,0,26,0,14,0,0,12,22,15,0,0,0,"MADISON"
"FEDERALIST.No..39",53,0,0,0,5,1,13,0,6,64,4,20,33,7,52,0,8,0,1,0,2,3,14,33,1,3,0,0,1,0,0,3,6,1,14,23,1,0,9,3,1,1,0,1,0,0,0,1,1,2,0,5,73,3,57,44,20,1,2,0,6,9,0,0,7,4,22,2,157,0,25,1,6,14,10,2,0,0,1,4,2,6,0,1,8,3,4,0,8,28,300,16,0,6,3,3,0,6,10,21,1,0,91,0,7,0,0,0,1,2,7,6,2,1,1,27,0,0,0,0,15,12,8,0,0,0,"MADISON"
"FEDERALIST.No..40",53,0,1,0,0,5,11,0,12,100,2,13,33,7,54,0,20,0,0,0,2,1,7,55,3,6,0,5,1,0,0,0,2,2,23,16,4,17,10,26,0,1,0,2,0,1,0,0,3,2,2,8,68,7,29,35,4,2,0,2,4,6,0,0,9,3,19,2,174,0,13,1,5,10,3,1,0,0,4,0,0,3,0,12,13,7,13,0,5,63,294,35,0,9,2,4,4,22,28,18,7,0,120,0,8,0,0,0,2,12,3,19,5,3,2,31,0,9,2,0,7,15,6,0,0,0,"MADISON"
"FEDERALIST.No..41",81,0,0,0,1,14,17,0,20,88,6,15,33,5,74,1,20,1,2,0,1,4,14,32,9,7,1,2,3,0,1,0,1,2,35,22,0,7,18,26,0,1,14,3,1,1,0,0,3,3,5,13,63,7,38,52,15,6,3,0,12,4,0,1,9,2,18,4,204,0,27,1,6,21,10,6,0,0,1,1,4,9,0,1,9,2,6,0,13,42,336,13,0,10,5,2,1,15,15,28,6,0,119,3,4,0,0,0,5,3,7,6,4,1,4,36,0,8,1,0,25,16,9,0,0,0,"MADISON"
"FEDERALIST.No..42",50,0,0,1,0,6,9,0,16,96,11,9,22,3,48,0,19,3,2,0,3,4,11,31,3,0,0,1,0,0,0,1,7,1,22,10,1,4,13,20,1,0,0,4,0,0,0,0,1,1,2,4,62,8,39,29,9,1,0,0,1,3,0,1,8,1,22,0,184,0,22,1,7,15,16,2,0,0,2,1,6,1,0,0,8,1,8,0,4,32,262,12,0,8,1,1,3,6,6,18,6,4,93,3,10,1,0,2,7,3,4,4,3,2,7,27,0,4,2,1,6,16,15,0,0,0,"MADISON"
"FEDERALIST.No..43",93,0,1,0,0,15,13,0,12,79,8,15,39,7,78,0,14,2,2,1,5,4,12,47,9,7,0,2,0,0,0,2,5,2,28,6,3,3,11,21,0,1,1,3,0,0,0,0,0,0,2,6,55,7,34,57,15,4,0,0,8,3,0,0,14,2,26,1,223,0,33,1,6,21,20,1,0,1,1,5,3,8,0,12,6,2,12,0,10,50,356,10,0,10,3,0,2,2,12,22,5,0,112,2,5,0,0,0,2,8,1,1,7,3,3,34,0,5,1,1,19,17,12,0,0,0,"MADISON"
"FEDERALIST.No..44",43,0,0,1,0,6,20,1,10,88,15,13,28,4,54,1,19,0,2,0,2,1,8,28,7,3,0,2,0,3,0,1,1,2,20,9,2,10,7,33,0,0,0,1,0,0,0,0,2,0,4,8,66,11,28,19,6,4,0,0,9,0,0,1,18,0,16,2,171,0,28,1,4,37,9,1,0,0,0,3,1,10,0,4,6,5,7,0,8,28,315,9,0,6,1,0,4,12,15,25,4,0,81,2,6,0,0,0,2,4,2,2,2,0,1,30,0,2,0,1,10,18,29,0,0,0,"MADISON"
"FEDERALIST.No..45",20,0,0,0,0,5,8,1,7,63,4,7,23,4,52,0,6,1,0,0,2,1,4,11,0,1,0,0,2,0,0,0,4,2,12,8,0,4,4,17,2,0,0,1,0,0,0,0,1,2,3,7,40,3,23,19,6,3,0,0,14,5,1,0,6,0,10,0,143,0,10,1,1,8,7,4,0,0,0,4,1,2,0,3,1,1,2,0,9,30,278,7,1,11,4,2,3,4,1,5,8,0,66,3,7,0,0,0,8,4,6,6,1,0,0,17,0,1,0,0,32,15,11,0,0,0,"MADISON"
"FEDERALIST.No..46",42,0,0,1,0,4,5,0,9,73,6,13,21,6,72,1,5,0,1,0,0,5,13,21,7,7,0,1,1,0,0,1,3,2,11,10,0,3,4,15,0,0,0,2,0,0,0,0,0,1,4,5,46,4,7,32,6,0,0,0,11,7,0,0,4,0,20,1,162,1,32,0,6,14,9,0,0,0,1,2,2,5,0,9,2,1,6,0,11,39,303,29,1,5,7,0,0,13,14,9,6,0,86,6,2,1,1,0,4,12,2,3,5,0,3,23,0,6,1,0,40,18,29,0,0,0,"MADISON"
"FEDERALIST.No..47",35,0,0,0,5,1,12,1,10,86,5,26,20,7,35,2,14,1,1,0,0,4,5,42,9,0,1,1,0,0,2,0,6,1,7,12,2,3,17,14,2,10,3,1,0,0,4,2,11,0,6,5,62,1,43,22,10,0,0,0,9,2,0,1,15,4,12,0,187,0,20,1,2,18,12,0,0,0,0,3,2,14,0,2,4,4,2,0,5,36,327,1,0,6,1,2,3,6,8,24,1,0,65,2,4,0,0,0,3,4,7,7,3,3,3,22,0,6,1,0,4,20,4,0,0,0,"MADISON"
"FEDERALIST.No..48",35,0,0,1,0,6,12,1,12,51,1,6,18,4,31,1,12,0,6,0,1,3,7,28,4,1,0,0,1,0,0,1,4,1,16,12,0,10,6,10,0,0,0,0,0,0,1,1,3,0,8,2,45,3,29,24,9,0,0,0,8,4,0,0,6,2,13,0,100,0,16,2,1,11,12,3,0,1,2,4,2,7,0,6,5,7,0,0,4,27,169,14,0,6,2,0,2,10,11,14,4,0,54,0,2,0,1,0,2,5,2,4,2,0,5,28,0,5,0,0,11,8,3,0,0,0,"MADISON"
"FEDERALIST.No..49",33,0,1,0,0,9,6,0,11,42,3,15,15,2,47,1,3,1,1,0,1,0,8,15,4,3,0,3,2,0,0,0,3,1,11,5,0,4,2,5,0,3,0,0,0,0,0,1,3,2,2,3,34,1,18,26,8,2,0,0,3,4,0,0,4,1,13,0,101,0,16,0,4,10,6,2,0,0,2,0,1,4,0,2,4,2,3,0,1,21,178,14,0,7,3,0,2,1,5,5,1,0,58,3,2,0,0,0,2,1,4,2,0,2,0,20,0,5,1,0,1,11,22,0,0,0,"DISPUTED"
"FEDERALIST.No..50",14,0,0,0,0,1,5,0,3,33,5,4,11,9,31,1,13,2,0,0,0,0,1,11,0,0,0,1,0,0,0,0,3,0,6,8,0,9,1,12,0,0,0,0,0,0,0,0,0,0,5,4,28,2,6,16,3,1,0,0,0,1,0,1,0,1,10,0,60,0,11,0,0,8,8,0,0,0,0,1,0,9,0,1,1,5,1,0,0,12,101,13,0,8,2,0,0,3,7,7,1,1,28,0,3,0,0,1,3,4,1,1,0,2,1,9,0,3,0,0,7,5,11,0,0,0,"DISPUTED"
"FEDERALIST.No..51",46,0,0,0,0,8,12,0,5,40,1,9,28,3,63,3,2,0,3,0,2,2,9,23,3,1,0,0,1,0,1,0,11,1,13,7,1,1,2,3,1,0,0,0,0,0,0,0,0,0,2,7,50,5,20,32,4,7,1,0,5,0,0,1,4,2,9,0,113,0,21,0,3,7,13,0,0,0,0,2,2,5,0,9,5,6,6,0,3,25,202,7,0,3,1,2,4,4,2,13,3,2,50,1,4,2,0,0,4,1,2,4,2,0,2,14,0,1,0,0,23,6,9,1,0,0,"DISPUTED"
"FEDERALIST.No..52",35,1,1,1,0,0,3,0,3,37,7,8,16,7,46,2,16,0,5,0,2,1,6,22,7,0,0,0,2,0,0,1,0,3,13,12,1,2,3,19,0,1,0,1,0,0,0,0,3,0,5,5,33,1,19,32,6,2,1,0,7,3,0,0,4,0,11,0,101,0,19,0,6,7,8,2,0,1,0,3,0,5,0,4,5,3,1,0,0,30,186,9,0,4,1,1,0,7,5,15,4,0,72,3,10,0,0,0,6,11,5,10,2,3,1,21,0,0,0,0,10,11,8,0,0,0,"DISPUTED"
"FEDERALIST.No..53",48,0,0,0,1,2,9,0,6,62,6,19,22,2,51,0,7,2,1,0,7,3,11,31,13,2,0,0,4,0,0,1,3,1,21,11,0,0,8,7,0,3,0,2,0,0,0,1,3,4,3,7,45,2,28,18,2,0,0,0,10,8,0,0,10,0,19,0,128,0,8,1,4,12,14,4,0,1,0,0,1,2,0,0,4,12,4,1,7,24,193,4,0,7,2,1,2,10,12,15,5,0,73,0,1,0,0,0,9,4,4,4,4,1,6,23,0,4,0,1,25,11,6,0,0,0,"DISPUTED"
"FEDERALIST.No..54",35,0,0,1,0,2,10,0,9,38,7,15,36,2,40,1,4,0,6,1,0,2,8,26,0,2,0,0,2,0,1,0,9,0,10,13,0,3,2,16,0,2,0,0,0,0,0,2,9,0,4,5,65,5,35,27,2,2,1,1,6,1,0,0,8,2,18,0,117,0,19,0,3,9,15,4,0,0,0,3,1,7,0,4,1,7,3,0,4,28,204,12,0,10,2,1,1,3,11,21,6,1,61,1,4,0,0,2,6,1,4,6,2,5,0,25,0,6,0,0,15,12,6,0,0,0,"DISPUTED"
"FEDERALIST.No..55",48,0,1,0,0,4,4,3,4,48,8,13,12,17,51,0,6,1,0,0,5,1,5,14,8,2,0,2,2,0,0,1,1,4,17,12,1,3,5,6,0,0,1,3,0,0,0,0,0,1,11,5,30,0,25,17,0,0,0,0,11,4,1,0,4,3,14,2,122,0,9,0,1,20,11,7,0,0,1,2,2,3,0,1,7,1,2,0,15,32,182,16,0,4,3,2,5,3,16,12,0,2,78,1,5,0,1,0,7,2,6,6,3,1,4,29,0,3,0,0,20,11,10,0,0,0,"DISPUTED"
"FEDERALIST.No..56",48,0,1,0,0,2,9,0,3,53,5,12,10,5,36,0,5,1,0,0,0,2,8,10,4,0,0,3,1,0,0,0,8,6,7,9,1,1,4,8,1,0,0,1,0,0,1,0,2,0,0,0,31,4,10,20,5,2,2,0,7,2,0,0,2,0,11,0,112,0,11,0,5,3,5,0,0,0,0,0,1,4,0,0,3,3,0,0,6,18,137,9,0,10,1,1,3,6,4,13,4,0,39,1,1,0,0,0,10,2,4,2,2,0,1,19,0,2,0,0,29,15,4,0,0,0,"DISPUTED"
