id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/2095963	10.2307/2095963	Morals Versus Art: Censorship, The Politics of Interpretation, and the Victorian Nude	Nicola Beisel	American Sociological Review	58	2	1993-04-01T00:00:00Z	pp. 145-162	American Sociological Association	fla		Censorship raises the question of how an object is deemed art or obscenity. Although sociologists have studied how cultural objects are interpreted according to the cultural frameworks of the larger society, little has been written on what makes one interpretation more compelling than another. I analyze the controversy that arose in New York City in the late nineteenth century when an eminent art dealer was arrested by Anthony Comstock, leader of the New York Society for the Suppression of Vice, for selling photographic reproductions of nude paintings. I contend that arguments draw on cultural schemas that constitute, and are in turn constituted by, social structures. Simultaneously, powerful interpretations construct an appealing identity for adherents to the arguments. While Comstock had been supported by New York's upper class when he claimed that pornography threatened elite children, the arrest of a leading art dealer for selling the photographs cast doubt on the moral purity of the upper class itself.	
10.2307/2095432	10.2307/2095432	Political Democracy and the Size Distribution of Income	Kenneth A. Bollen, Robert W. Jackman	American Sociological Review	50	4	1985-08-01T00:00:00Z	pp. 438-457	American Sociological Association	fla		This paper reviews the major theoretical arguments that link political democracy with economic inequality. It then shows that previous empirical analyses of the linkage have produced inconclusive results because they have suffered from specification, measurement, and sample-composition problems. A nonrecursive model is proposed that overcomes many of these limitations. Using 2SLS and a new weighted 2SLS procedure, we find no evidence of direct effects of political democracy on income inequality, or vice versa. However, economic development influences both variables, while world-system position, Protestantism, and British colonial experience affects political democracy. Population age-structure and systematic measurement error induce changes in income inequality. The paper concludes with a discussion both of the flaws in prior arguments linking democracy with inequality, and of the political processes that undermine any such linkage.	
10.2307/2095355	10.2307/2095355	Industrialization and World Inequality: The Transformation of the Division of Labor in 59 Nations, 1960-1981	William Rau, Dennis W. Roncek	American Sociological Review	52	3	1987-06-01T00:00:00Z	pp. 359-369	American Sociological Association	fla		Using smallest space analysis we derive levels, paths, and rates of industrialization from the labor force distributions of 59 nations. Two smallest space dimensions are necessary to represent patterns of labor force change. The first reflects the overall level of industrialization; the second reveals a trade-off between the size of the manufacturing versus service sectors for nations at comparable levels of industrialization. After controlling for level of industrialization, we find that nations that emphasize manufacturing have more rapid rates of industrialization and higher status in the world system than nations that emphasize service industries.	
10.2307/2096146	10.2307/2096146	The Relative Permeability of Class Boundaries to Cross-Class Friendships: A Comparative Study of the United States, Canada, Sweden, and Norway	Erik Olin Wright, Donmoon Cho	American Sociological Review	57	1	1992-02-01T00:00:00Z	pp. 85-102	American Sociological Association	fla		The structural analysis of classes can be divided into the analysis of class locations and the analysis of permeability of boundaries separating those locations. Marxist analysis of class structure has been primarily concerned with the first of these while Weberian class analysis has focused on the second. We attempt to combine a Marxist structural class concept, which views class locations in capitalist societies as structured by exploitation based on property relations, authority relations and expertise, with the Weberian concern with the ways lives of individuals traverse the boundaries of that structure. We examine patterns of friendship ties across class boundaries in four contemporary capitalist societies: the United States, Canada, Sweden, and Norway. Three empirical conclusions stand out: (1) The property-based class boundary is the least permeable of the three exploitation dimensions; (2) the authority-based class boundary is significantly more permeable than the expertise-based boundary; and (3) patterns of inter-class friendships are largely invariant across these four countries.	
10.2307/2096108	10.2307/2096108	A Theory of Group Stability	Kathleen Carley	American Sociological Review	56	3	1991-06-01T00:00:00Z	pp. 331-354	American Sociological Association	fla		Some groups endure longer, are more stable, and are better able than other groups to incorporate new members or ideas without losing their distinctiveness. I present a simple model of individual behavior based on the thesis that interaction leads to shared knowledge and that relative shared knowledge leads to interaction. Using this model I examine the structural and cultural bases of group stability. Groups that are stable in the short run do not necessarily retain their distinctiveness in the long run as new members enter or new ideas are discovered.	
10.2307/2096378	10.2307/2096378	Errata: Political Conflict in the World Economy: A Cross-National Analysis of Modernization and World-System Theories		American Sociological Review	59	6	1994-12-01T00:00:00Z	p. 937	American Sociological Association	fla			
10.2307/2095738	10.2307/2095738	Commitment and the Modern Union: Assessing the Link Between Premarital Cohabitation and Subsequent Marital Stability	Neil G. Bennett, Ann Klimas Blanc, David E. Bloom	American Sociological Review	53	1	1988-02-01T00:00:00Z	pp. 127-138	American Sociological Association	fla		In recent years, the incidence of premarital cohabitation has increased dramatically in many countries of Western Europe and in the United States. Analyzing data from the 1981 Women in Sweden survey using a hazards-model approach, we focus on the relationship between premarital cohabitation and subsequent marital stability. Our results indicate that women who cohabit premaritally have almost 80 percent higher marital dissolution rates than those who do not. Women who cohabit for over three years prior to marriage have over 50 percent higher dissolution rates than women who cohabit for shorter durations. Last, cohabitors and noncohabitors whose marriages have remained intact for eight years appear to have identical dissolution rates after that time. We provide evidence that strongly suggests a weaker commitment to the institution of marriage on the part of those who cohabit premaritally.	
10.2307/2095396	10.2307/2095396	Status Attainment Research and its Image of Society	J. David Knottnerus	American Sociological Review	52	1	1987-02-01T00:00:00Z	pp. 113-121	American Sociological Association	fla		This paper delineates the image of society underlying status attainment research as found in the formulations of Blau and Duncan and the  Wisconsin research program  of Sewell and associates. The image of the social structure and social actor underlying this research tradition is influenced by certain popular themes in post-World War II sociological thought. Society is depicted as fluid, stable, and becoming increasingly middle class due to technological progress, the rise of universalistic standards, and the growing importance of education. In particular, mass society theory helped shape the optimistic image of modern, mass, industrial society upon which status attainment research rests.	
10.2307/2095514	10.2307/2095514	Household and Family in Theory on Inequality	Richard F. Curtis	American Sociological Review	51	2	1986-04-01T00:00:00Z	pp. 168-183	American Sociological Association	fla		Households organized as families are essential units in theory on inequality because they redistribute the product of larger organizations: the consumption of resources by individuals is influenced by the power structures of their families. Households vary demographically as well as in social structure, and redistribute according to varying principles that typically contrast with those of production organizations. In particular the rules of exchange--economic vs. noneconomic--under which distribution takes place may differ from those under which redistribution takes place. Many issues in inequality theory stem from the fact that economic and noneconomic rules of exchange are both present in the same social settings.	
10.2307/2095910	10.2307/2095910	The Social Context of Recycling	Linda Derksen, John Gartrell	American Sociological Review	58	3	1993-06-01T00:00:00Z	pp. 434-442	American Sociological Association	fla		Over the last several decades, sociologists have investigated the public's increasing concern about the environment, but they have had little success explaining attitudes toward the environment or the adoption of pro-environment behaviors like recycling. We examine the role of social context in the link between individual attitudes about the environment and recycling behavior by comparing communities that vary in their access to recycling programs. Results show that people with access to a structured recycling program have much higher levels of recycling than do people lacking such access. Furthermore, individual attitudes toward the environment affect recycling behavior only in the community with easy access to a structured recycling program. Individual concern about the environment enhances the effect of the recycling program, but does not overcome the barriers presented by lack of access.	
10.2307/2117748	10.2307/2117748	The Sources and Structure of Legitimation in Western Democracies: A Consolidated Model Tested with Time-Series Data in Six Countries Since World War II	Frederick D. Weil	American Sociological Review	54	5	1989-10-01T00:00:00Z	pp. 682-706	American Sociological Association	fla		Both new-left and neo-conservative theorists argue that poor state performance can lead to a legitimation crisis, but they neglect distinctions among different forms of political support and objective conditions that citizens evaluate. I propose a theoretical model that distinguishes between (a) confidence in institutions and legitimation of democracy and (b) state performance and the structure of opposition (party systems, governing coalitions). I test the model with data located in an extensive new search of survey archives in six Western countries. The results show that poor state performance leads to a decline of confidence, but not a softening of support for democracy. Problems in the structure of opposition lead to a decline of both confidence and support for democracy. In the conclusion, I speculate whether state performance might affect democratic legitimacy in a less straightforward fashion.	
10.2307/2095447	10.2307/2095447	Social Differentiation in Criminal Victimization: A Test of Routine Activities/Lifestyle Theories	Terance D. Miethe, Mark C. Stafford, J. Scott Long	American Sociological Review	52	2	1987-04-01T00:00:00Z	pp. 184-194	American Sociological Association	fla		Recent theories posit that social differentiation in the risks of criminal victimization is due to variation in routine activities/lifestyles which place some persons or their property in proximity to motivated offenders. For a sample of 107,678 residents in thirteen U.S. cities, measures of the nature and quantity of routine activities outside the home (major daytime activity, frequency of nighttime activity) are introduced to assess the mediational effects of these variables on the demographic correlates of victimization. Routine activities/lifestyle variables have relatively strong direct and mediational effects on individuals' risks of property victimization but not for violent victimization. These findings are discussed in terms of their implications for further research on the relationship between demographic variables, routine activities/lifestyles, and criminal victimization.	
10.2307/2096387	10.2307/2096387	The Stopping and Spacing of Childbirths and Their Birth-History Predictors: Rational-Choice Theory and Event-History Analysis	Kazuo Yamaguchi, Linda R. Ferguson	American Sociological Review	60	2	1995-04-01T00:00:00Z	pp. 272-298	American Sociological Association	fla		Using data on women from the 1985 Current Population Survey, we analyze the distinct effects of covariates on birth stopping and birth spacing. We develop behavioral models of rational childbearing from which we derive two sets of hypotheses: one for the effects on birth stopping of the sex composition of children born and its interaction with education and cohort, and the other for the effects of maternal age at birth and the length of the preceding birth interval on birth stopping and birth spacing. To test these hypotheses, we analyze second and third births using event-history models that combine a regression on the probability of not having another birth in the lifetime and a regression on spacing to the next birth. We predict and confirm that: (1) women with different-sex children are more likely to stop childbearing than women with same-sex children; (2) this sex composition effect of children born is larger for highly educated women than for those with lower education attainment and for women in younger cohorts than for those in older cohorts; (3) the sex composition of children born has no effect on birth spacing. We also find that the probability of birth stopping increases as maternal age at previous birth increases, while the spacing to the next birth first increases and then decreases as maternal age at previous birth increases.	
10.2307/2095950	10.2307/2095950	 An Eye for an Eye Leaves Everyone Blind : Cooperation and Accounting Systems	Peter Kollock	American Sociological Review	58	6	1993-12-01T00:00:00Z	pp. 768-786	American Sociological Association	fla		Using computer simulations that permit degrees of cooperation and introduce  noise  into the environment, I explore the benefits of strategies in which actors use different accounting systems to track ongoing exchanges. By relaxing some stringent assumptions of past work, I chart the conditions under which cooperation may emerge when actors can show degrees of cooperation and when actors' moves are misperceived. Results provide evidence that strategies employing a relaxed accounting system have many advantages.	
10.2307/2096388	10.2307/2096388	The Spatial Diffusion of Fertility: A Cross-Sectional Analysis of Counties in the American South, 1940	Stewart E. Tolnay	American Sociological Review	60	2	1995-04-01T00:00:00Z	pp. 299-308	American Sociological Association	fla		In recent years, the diffusion perspective on variation and change in fertility levels has attracted increasing interest. Yet, few researchers have attempted to estimate the effect of diffusion on geographic variations in fertility. I employ a spatial-diffusion model to assess the effect of diffusion in shaping fertility variation across 1,052 counties in the American South in 1940. Variation in fertility levels and the  fertility potential  for each county are measured. Fertility potential is a spatial-effects variable that summarizes each county's geographic proximity to the influence of other high- or low-fertility counties. A two-stage least squares technique described by Land and Deane (1992) is used to assess the effect of fertility potential on observed fertility levels. A significant diffusion effect is inferred. The diffusion effect withstands the introduction of control variables measuring a variety of other characteristics of southern counties, many of which, themselves, have significant effects on actual fertility levels. I conclude that inter-county variation in fertility in the South was shaped by a mix of social forces, especially structural and diffusion processes.	
10.2307/2095898	10.2307/2095898	The Widening Gap in Black and White Marriage Rates: The Impact of Population Composition and Differential Marriage Propensities	Robert Schoen, James R. Kluegel	American Sociological Review	53	6	1988-12-01T00:00:00Z	pp. 895-907	American Sociological Association	fla		Observers have sought to explain growing differences between black and white marriage patterns in terms of compositional effects that have produced shortages of black males, particularly those with characteristics seen as desirable in husbands. Although marriage market imbalances exist, no quantitative assessment of their importance has been made. The present study uses 1969-1971 and 1979-1981 marriage data for North Carolina and Virginia to make such an assessment. We create a composition-independent measure of marriage to decompose differences between black and white marriage rates and their change over time into factors attributable to population composition and to the propensity to marry, i.e., the mutual attraction for marriage. The results show that compositional effects have played only a minor role and suggest new research directions to explain racial differences in marriage propensities.	
10.2307/2096363	10.2307/2096363	A Re-Evaluation of the Economic Consequences of Divorce	Richard R. Peterson	American Sociological Review	61	3	1996-06-01T00:00:00Z	pp. 528-536	American Sociological Association	fla		Over the last 20 years, researchers have focused considerable attention on the economic consequences of divorce. One book, Weitzman's The Divorce Revolution (1985), reports a 73 percent decline in women's standard of living after divorce and a 42 percent increase in men's standard of living. These percentages, based on data from a 1977-1978 Los Angeles sample, are substantially larger than those from other studies. I replicate The Divorce Revolution's analysis and demonstrate that the estimates reported in the book are inaccurate. This reanalysis, which uses the same sample and measures of economic well-being as The Divorce Revolution, produces estimates of a 27 percent decline in women's standard of living and a 10 percent increase in men's standard of living after divorce. I discuss the implications of these results for debates about divorce law reform.	
10.2307/2095652	10.2307/2095652	Urban Bias, Dependence, and Economic Stagnation in Noncore Nations	Bruce London, David A. Smith	American Sociological Review	53	3	1988-06-01T00:00:00Z	pp. 454-463	American Sociological Association	fla		This paper contributes to the growing body of research that assesses the effects of patterns of urbanization on economic growth in less developed countries (LDCs). Regression analysis of data for 65-80 nations (including analyses of influential cases) suggests that both urban bias and dependency have independent, simultaneous, and negative effects on economic growth. Further analyses reveal a strong positive relationship between dependency and urban bias. These findings show that understanding urbanization and development in the Third World requires the consideration of both  external  (international) and  internal  (intranational) factors, and a combination of the insights gained from dependency/world-system, human-ecology, and modernization theories.	
10.2307/2095497	10.2307/2095497	Is It Outlier Deletion or Is It Sample Truncation? Notes on Science and Sexuality	Guillermina Jasso	American Sociological Review	51	5	1986-10-01T00:00:00Z	pp. 738-742	American Sociological Association	fla			
10.2307/2095751	10.2307/2095751	Explaining Military Coups D'État: Black Africa, 1957-1984	J. Craig Jenkins, Augustine J. Kposowa	American Sociological Review	55	6	1990-12-01T00:00:00Z	pp. 861-875	American Sociological Association	fla		Military coups and related problems of political control in Third World countries present a major obstacle to economic and social development. We evaluate a synthetic theory of military coups derived from political development theory, military centrality arguments, several theories of ethnic antagonism, and economic dependency theory. Using data on military interventions in 33 Black African states between 1957 and 1984, we carry out a LISREL analysis of the structural propensity for military coups. We find strong support for modernization and competition theories of ethnic antagonisms, military centrality theory and aspects of dependency theory. Political development theory is not supported. Ethnic diversity and competition, military centrality, debt dependence, and political factionalism are major predictors of coup activity. Military centrality is, in turn, rooted in the same underlying structures. Ethnic dominance is a stabilizing force creating social integration and weakening opposition. Intractable conflicts rooted in ethnic competition and economic dependence appear to create a structural context for military coups and related instabilities.	
10.2307/2096240	10.2307/2096240	Failed Populism: Movement-Party Disjuncture in North Carolina, 1890 to 1900	Kent Redding	American Sociological Review	57	3	1992-06-01T00:00:00Z	pp. 340-352	American Sociological Association	fla		I examine the relationship between social movements and political parties through the study of late-nineteenth-century Populism in North Carolina. I use county-level data on North Carolina Farmers' Alliance membership and People's Party votes to test theories on the social-structural bases of the two organizations and gauge the relationship between them. The results indicate a striking disjuncture between Alliance membership and People's Party support and suggest a new interpretation of the defeat of Populism. The results also provide the basis for analysis of the different organizational and mobilizational processes of movements and parties. Additional study of movement-party relationships should improve our understanding of Populism and other insurgent political movements as well.	
10.2307/2096407	10.2307/2096407	Keiretsu Networks and Corporate Performance in Japan	James R. Lincoln, Michael L. Gerlach, Christina L. Ahmadjian	American Sociological Review	61	1	1996-02-01T00:00:00Z	pp. 67-88	American Sociological Association	fla		Using data on 197 large Japanese firms over a 24-year period, we study how profitability is affected by firm integration in big-six horizontal keiretsu networks. Combining measures of financial and commercial dependence on a keiretsu group with the governance ties of equity ownership, director transfers, and shacho-kai (presidents' council) membership, we replicate previous studies showing that group firms have lower average profitability than independents. Such findings, however, cannot be taken at face value, because the group effect varies with the prior performance of the firm. Weak companies benefit from group affiliation (they recover faster), while strong ones do not (they are subsequently outperformed by independent firms). Thus, there is much less variability in the performance of keiretsu firms as compared with independents. However, this redistribution effect decays in the second half of the 1980's during a period spanning deep structural changes in the Japanese economy. Before then the effect is evident for all five measures of firm ties to big-six keiretsu groups. Yet one such tie, shacho-kai membership, distinctively shapes the intervention process. Shacho-kai standing appears to be a near-sufficient condition for redistribution. For shacho-kai firms, ad hoc business and governance ties (with one exception) add nothing to the odds of intervention. For firms lacking shacho-kai seats, however, ad hoc ties strongly condition those odds. Moreover, redistribution is a pervasive and continuous process that touches all shacho-kai participants. When the intervention target is an independent firm, by contrast, the redistribution process affects the weakest and the strongest group members; average performers are left alone. These and other findings, we argue, run counter to a simple main bank model of keiretsu organization and action, and favor instead a model of the big-six groups as complex network structures.	
10.2307/2095435	10.2307/2095435	Unwelcome Immigrants: The Labor Market Experiences of 1980 (Mariel) Cuban and Haitian Refugees in South Florida	Alejandro Portes, Alex Stepick	American Sociological Review	50	4	1985-08-01T00:00:00Z	pp. 493-514	American Sociological Association	fla		This article examines the situation of two recently arrived and disadvantaged immigrant groups in the context of two competing theoretical traditions: classical assimilation and recent labor market segmentation theories. Predictions of both concerning U.S. labor market entry of foreign minorities and determinants of subsequent mobility are tested on the basis of representative surveys. Most are disconfirmed. The analysis supports the hypothesis of heterogeneous modes of incorporation into the labor market, including substantial numbers of refugees who remain outside of it. Sizable proportions have only managed to find fringe employment in an emerging informal economy in South Florida. Among Cubans, employment in the ethnic enclave is associated with positive returns comparable to those of entry into the  primary  labor market. Haitians lack an enclave option and thus cluster into secondary and informal employment, although most remain without work. Determinants of these various situations are examined on the basis of multivariate logistic regressions. Implications of results for immigration theory and policy are discussed.	
10.2307/2095643	10.2307/2095643	Exploring the Social Sources of Denominationalism: Schisms in American Protestant Denominations, 1890-1980	Robert C. Liebman, John R. Sutton, Robert Wuthnow	American Sociological Review	53	3	1988-06-01T00:00:00Z	pp. 343-352	American Sociological Association	fla		Schisms are a major source of new religious denominations in America, but have received little attention in the sociological literature. This study is critical of the conventional assumption that schisms arise primarily from internal doctrinal disputes. Drawing on the resource mobilization literature, we offer an alternative argument that vulnerability to schism is related to the organizational characteristics of denominations. We apply dynamic quantitative techniques to longitudinal data on Protestant denominations in the U.S. to test hypotheses about denominational centralization, linkages to the wider environment, and demographic characteristics. Findings suggest that the larger the denomination, the greater the tendency to schism; the size effect is inhibited, however, when denominations are linked to interorganizational federations.	
10.2307/2096350	10.2307/2096350	Global Self-Esteem and Specific Self-Esteem: Different Concepts, Different Outcomes	Morris Rosenberg, Carmi Schooler, Carrie Schoenbach, Florence Rosenberg	American Sociological Review	60	1	1995-02-01T00:00:00Z	pp. 141-156	American Sociological Association	fla		In this paper, we attempt to shed light on the nature of, relevance of, and relationship between global self-esteem and specific self-esteem. We marshal evidence that the two types of self-esteem may have strikingly different consequences, global self-esteem being more relevant to psychological well-being, and specific self-esteem being more relevant to behavior. We use linear structural equation causal modeling to test this hypothesis for the case of global self-esteem (Rosenberg 1979) and specific (academic) self-esteem. Our findings show that, while global self-esteem is more strongly related to measures of psychological well-being, specific (academic) self-esteem is a much better predictor of school performance. Other findings indicate that the degree to which specific academic self-esteem affects global self-esteem, particularly the positive component of global self-esteem, is a function of how highly academic performance is personally valued.	
10.2307/2096285	10.2307/2096285	Childbearing and Schooling: Disentangling Temporal and Causal Mechanisms: Reply	Dawn M. Upchurch, James McCarthy, Linda R. Ferguson	American Sociological Review	58	5	1993-10-01T00:00:00Z	pp. 738-740	American Sociological Association	fla			
10.2307/2096204	10.2307/2096204	Residential Segregation by Skin Color in Brazil	Edward E. Telles	American Sociological Review	57	2	1992-04-01T00:00:00Z	pp. 186-197	American Sociological Association	fla		I examine residential segregation by skin color in 35 of the largest metropolitan areas in Brazil, using census tract data from the 1980 Brazilian census. Residential dissimilarity among whites, mulattoes (browns) and blacks is only moderate by U.S. standards. White-black dissimilarity is the highest, followed by brown-black and then white-brown dissimilarity. Residential segregation within income groups is lowest for the low income groups and increases with increasing income level. For most of the white middle class, residential separation is ensured by the concentration of blacks and mulattoes in low socioeconomic classes and in distinct regions. Multivariate analysis reveals that an urban area's socioeconomic status and housing market are strong predictors of overall residential segregation: segregation is significantly higher in urban areas with high occupational inequality, low mean income, high levels of housing turnover, and high homeownership. Measures of industrialization, immigrant influence and color heterogeneity were not significant. Implications for Brazilian race relations are discussed.	
