id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/2778813	10.2307/2778813	Introducing Influence Processes into a System of Collective Decisions	Peter V. Marsden	American Journal of Sociology	86	6	1981-05-01T00:00:00Z	pp. 1203-1235	The University of Chicago Press	fla		This paper modifies and extends the model of collective decisionmaking processes proposed by Coleman in The Mathematics of Collective Action by introducing a process in which the interests expressed by actors may be influenced by those of other actors. After incorporation of this individual-level process within the framework of Coleman's model, its effects at the system level are explored by comparing results generated by the modified model with those produced by the original model. Analyses of artificial data indicate that the nature and magnitude of system-level effects are contingent on (1) the pattern of interest differentiation in the influence network; and (2) the degree of centralization of the influence network. Depending on these features, the effects of the influence process on collective decision making may be (1) a decline in the system level of resource mobilization; (2) an increase in the level of apparent consensus on collective decisions; and/or (3) a bias in collective decisions toward the interests of the actors centrally located in the influence network.	
10.2307/2780330	10.2307/2780330	Legal Environments and Organizational Governance: The Expansion of Due Process in the American Workplace	Lauren B. Edelman	American Journal of Sociology	95	6	1990-05-01T00:00:00Z	pp. 1401-1440	The University of Chicago Press	fla		This article examines the effect of legal environments on the expansion of due process in organizational governance. Event-history analyses of personnel practices in 52 organizations show that the civil rights mandates of the 1960s created a normative environment that threatened the legitimacy of arbitrary organizational governance. This precipitated a diffusion of formal grievance procedures for nonunion employees. Proximity to the public sphere, number of employees, and structural differentiation of the personnel function rendered organizations more vulnerable to normative pressure. Variation along these dimensions explains variations in the rates of rights expansion across organizations.	
10.2307/2778963	10.2307/2778963	Errata: Christian Intolerance of Homosexuality		American Journal of Sociology	88	6	1983-05-01T00:00:00Z	p. v	The University of Chicago Press	fla			
10.2307/2781503	10.2307/2781503	Restructuring Patterns of Elite Dominance and the Formation of State Policy in Health Care	Allen W. Imershein, Philip C. Rond III, Mary P. Mathis	American Journal of Sociology	97	4	1992-01-01T00:00:00Z	pp. 970-993	The University of Chicago Press	fla		The authors analyze recent state intervention to control health care costs as both reflecting and fostering changes in previously prevailing patterns of dominance among health care elites and between those elites and nonhealth elites. The authors contend that these health policy outcomes reflect a divergence of material interests and a political fragmentation among dominant health elites and between those and nonhealth, especially corporate, elites, which previously allowed health provider elites to control the health policy agenda. Empirical analysis shows that patterns of fragmentation among hospital elites and cohesion among business elites, in the form of business coalition development, can account for the adoption/retention of the four predominant state health care cost containment policies during the period 1981-87. The authors conclude that a political and economic restructuring of elite dominance is taking place but it is occurring unevenly across states and regions.	
10.2307/2779554	10.2307/2779554	Disagreement over the Evaluation of a Controlled Experiment	Hans Zeisel	American Journal of Sociology	88	2	1982-09-01T00:00:00Z	pp. 378-389	The University of Chicago Press	fla		Under the leadership of the U.S. Department of Labor, the states of Texas and Georgia engaged in what was perhaps the most careful large-scale randomized controlled experiment ever conducted in a natural setting. It was designed to test the widely supported theory that the recidivism rate of ex-convicts could be reduced or retarded by providing them for a time with a monthly monetary allowance. During the evaluation of the experiment, a radical difference of opinion over the correct interpretation of its results arose between the evaluators (Peter H. Rossi, Richard A. Berk, and Kenneth J. Lenihan) and Hans Zeisel, a member of the advisory board. This article, together with the comment and reply that follow it, explicates this difference and attempts to resolve it.	
10.2307/2777810	10.2307/2777810	Inequality and the Relative Size of Minority Populations: A Comparative Analysis	W. Parker Frisbie, Lisa Neidert	American Journal of Sociology	82	5	1977-03-01T00:00:00Z	pp. 1007-1030	The University of Chicago Press	fla		Socioeconomic differentials separating whites and blacks have been shown to correlate positively with the percentage of blacks in a population. However, in multiracial or multiethnic populations, it is necessary to take into account the effects of the relative size of each minority present in nonnegligible numbers. In the research reported here, the relationship between socioeconomic inequality and the proportion of Mexican Americans and blacks in the population of metropolitan areas was decomposed through path-analytic techniques. Analysis of model incorporating the impact of the size of both minorities indicates that minority income levels are inversely related to minority size and that disparities between majority and minority income and occupation tend to grow as relative minority size increases. Mexican American occupational levels vary positively with the percentage of blacks, but black occupational status was foud th be virtually unrelated to the proportional representation of Mexican Americans in metropolitan areas. Finally, the positive relationship between minority percentage and inequalities of income and occupation persists net of the effects of a number of plausible alternative explanations.	
10.2307/2777052	10.2307/2777052	Neither Marx nor Durkheim . . . Perhaps Weber	Edward A. Tiryakian	American Journal of Sociology	81	1	1975-07-01T00:00:00Z	pp. 1-33	The University of Chicago Press	fla		What accounts for the oft-remarked dynamism of American society and its attendart flexibility of social structures, including accommodation of protest movements? I approach this question by considering the applicability of the perspectives on modern society of Marx, Durkheim, and Weber to the United States. Arguing that it is perhaps Weber who is of greatest heuristic worth in interpreting American society because of his sensitivity to the Protestant ethos, I illustrate this line of analysis by drawing attention to two major Puritan cultural themes: "wilderness" and "voluntarism."	
10.2307/2779585	10.2307/2779585	How Many Emotions Are There? Wedding the Social and the Autonomic Components	Theodore D. Kemper	American Journal of Sociology	93	2	1987-09-01T00:00:00Z	pp. 263-289	The University of Chicago Press	fla		Fundamental in the field of emotions is the question of how many emotion there are or there can be. The answer proposed here is that the number of possible emotions is limites. As long as society differentiates new social situations, labels them, and socializes individuals to experience them, new emotions will continue to emerge. But this view must be qualified by an understanding of the autonomic constraints that limit variability in the experience of emotions. It is argued here that there are four psychologically grounded primary emotions: fear, anger, depression, and satisfaction. They are evolutionarily important, cross-culturally universal, ontogenetically early to emerge, and link empirically with important outcomes of social relations. Secondary emotions, such as guilt, shame, pride, gratitude, love, nostalgia, ennui, and so forth, are acquired through socializing agents who define and label such emotions while the individual is experiencing the autonomic reactions of one of the "primaries." Hence, it is argued here, guilt is a socialized response to arousal of the physiological conditions of fear; shame to those of anger; pride to those of satisfaction; and so on. This integration of primary with secondary emotions incorporates the contributions of both positivist and social constructionist positions in the sociology of emotions.	
10.2307/2777767	10.2307/2777767	Testing for Interaction in Multiple Regression	Paul D. Allison	American Journal of Sociology	83	1	1977-07-01T00:00:00Z	pp. 144-153	The University of Chicago Press	fla		Contrary to a recent claim, the inclusion of a product term in a multiple regression is a legitimate way to test for interaction. The unstandardized coefficient and the t-test for the product term are unaffected by the addition of arbitrary constants to the variables in the model. Certain other statistics are affected by this change, however, indicating that some hypotheses relating to interaction are not meaningfully testable unless variables are measured on ratio scales.	
10.2307/2777856	10.2307/2777856	Is It True What They Say About Daddy?	Leonard Broom, F. Lancaster Jones, Patrick McDonnell, Paul Duncan-Jones	American Journal of Sociology	84	2	1978-09-01T00:00:00Z	pp. 417-426	The University of Chicago Press	fla		The traditional method for assesing generational mobility hass been exposed to remeasurement studies but not to the test of an alternative questioning strategy. This paper describes a design in which intergenerational mobility is studies from two perspectives. In the conventional approach sons report on their own statuses and give proxy reports for parental statuses. In our second perspective parents are questioned about themselves and give proxy information on their children. Estimates of a five-variable status-attainment model for eachperspective yield similar results, but some correlations and regressions differ significantly because nonrandom errors influence the reporting of socioeconomic data among adults. Our anomalous findings suggest that mobility researchers might consider employing both questioning strategies as a guide to potential biases until a definitive test shows that the caution prescribed in this paper is unwarranted. Consumers of mobility studies are entitled to reserve judgment on data that depend entirely on the traditional approach even though current research adheres to it almost without exception.	
10.2307/2781380	10.2307/2781380	Critics and Publics: Cultural Mediation in Highbrow and Popular Performing Arts	Wesley Shrum	American Journal of Sociology	97	2	1991-09-01T00:00:00Z	pp. 347-375	The University of Chicago Press	fla		That critics mediate the relationship between artworks and publics has often been suggested but never adequately tested. Cultural capital arguments lead to the expectation that the mediation process operates differently for highbrow and popular genres, while the idea of cultural convergence does not predict such an effect. Data on 624 shows and 1,204 primary reviews from the Edinburgh Festival Fringe are used to investigate the relationship between reviewers' evaluations and audience attendance. The results show that positive reviews are associated with greater audience participation, net of other factors, but the effect is limited to highbrow performance genres such as theater. Critics do not have the power to "make or break" shows. The visibility provided by reviews is more important than their evaluative function. The findings support the idea that the operative aesthetics in popular and highbrow genres are distinct, and critics are important only in the latter.	
10.2307/2781585	10.2307/2781585	The Dynamics of Organizational Rules	Xueguang Zhou	American Journal of Sociology	98	5	1993-03-01T00:00:00Z	pp. 1134-1166	The University of Chicago Press	fla		This article examines the rate of rule founding and the rate of rule change in a university organization in its 100-year history. Organizational learning and institutional theories are used as research guidelines to explore the effects of path dependency, attention allocation, governmental intervention, and historical context on the evolution of organizational rules. The findings suggest that rule founding and rule change follow two distinctive processes. The former largely reflects an organizational response to external crisis and shocks, while the latter is strongly regulated by an internal learning process. Once rules are established, they are path dependent, sensitive to agenda setting, and adaptive to governmental constraints. There is also evidence that rules are institutionalized over time.	
10.2307/2778706	10.2307/2778706	U.S. and British Perceptions of Class	Reeve D. Vanneman	American Journal of Sociology	85	4	1980-01-01T00:00:00Z	pp. 769-790	The University of Chicago Press	fla		This research tests one aspect of the widely held belief that Americans are less class conscious than Europeans. Analysis of subjective class placements in the United States and Great Britain indicates that there is virtually no difference in the way social structural position is used to define middle- or working-class placement. The lack of any statistically significant interactions suggest that class is as clearly perceived in the United States as in Great Britain. The conventional wisdom about differences in the class consciousness of the two societies is probably the result of the substantial differences in the class basis of party affiliation and voting. Given the similarities in the perception of class, the political differences would be better explained by structural differences in the party systems than by psychological differences in the voters themselves.	
10.2307/2777300	10.2307/2777300	Migration and Income Differences Between Black and White Men in the North	Larry H. Long, Lynne R. Heltman	American Journal of Sociology	80	6	1975-05-01T00:00:00Z	pp. 1391-1409	The University of Chicago Press	fla		Blacks moving from the South to the North have had lower levels of education and have taken lower status jobs than northern-born blacks. Nevertheless, data from the 1970 census indicate that after a few years' residence in the North the southern-born blacks are able to earn higher incomes than northern-born blacks, apparently due in part to higher labor force participation rates. For these reasons, controlling for age and education reduces the income difference between blacks and whites, but controlling for age and region of birth increases it. Southern-born whites in the North and West have tended to have lower levels of education, higher unemployment rates, and lower incomes than whites of similar age in the North and West who are not interregional migrants. Interpretations, explanations, and uses of these findings are suggested, especially with regard to past and future changes in the black-white income ratio.	
10.2307/2782189	10.2307/2782189	Opportunity and Choice in Socially Structured Labor Markets	John Allen Logan	American Journal of Sociology	102	1	1996-07-01T00:00:00Z	pp. 114-160	The University of Chicago Press	fla		Employment outcomes depend on opportunity and choice, both of which are subject to structural influences. This article presents a new approach to studying the factors that determine employment outcomes. It develops a statistical technique, two-sided logit (TSL), directly from a model of the preferences and resources of employers and workers. Opportunity and choice are functions of these preferences and resources. Application of the TSL model to 1972-90 GSS data shows substantial variation in the importance of the worker characteristics of education, race, and age for the opportunity for employment in different occupational categories. The relationships of TSL to other sociological and economic models are also discussed.	
10.2307/2781455	10.2307/2781455	Was There a Hawthorne Effect?	Stephen R. G. Jones	American Journal of Sociology	98	3	1992-11-01T00:00:00Z	pp. 451-468	The University of Chicago Press	fla		The "Hawthorne effect" has been an enduring legacy of the celebrated studies of workplace behavior conducted in the 1920s and 1930s at Western Electric's Hawthorne Plant. This article examines the empirical evidence for the existence of Hawthorne effects using the original data from the Hawthorne Relay Assembly Tes Room. Allowing for a variety of other factors, the author assesses whether experimental changes, variously defined, had a common effect that could be regarded as a pure result of the experimentation. The main conclusion is that these data show slender or no evidence of a Hawthorne effect.	
10.2307/2777096	10.2307/2777096	The City as a Growth Machine: Toward a Political Economy of Place	Harvey Molotch	American Journal of Sociology	82	2	1976-09-01T00:00:00Z	pp. 309-332	The University of Chicago Press	fla		A city and, more generally, any locality, is conceived as the areal expression of the interests of some land-based elite. Such an elite is seen to profit through the increasing intensification of the land use of the area in which its members hold a common interest. An elite competes with other land-based elites in an effort to have growth-inducing resources invested within its own area as opposed to that of another. Governmental authority, at the local and nonlocal levels, is utilized to assist in achieving this growth at the expense of competing localities. Conditions of community life are largely a consequence of the social, econimic, and political forces embodied in this growth machine. The relevance of growth to the interests of various social groups is examined in this context, particularly with reference to the issue of unemployment. Recent social trends in opposition to growth are described and their potential consequences evaluated.	
10.2307/2778383	10.2307/2778383	Networks of Faith: Interpersonal Bonds and Recruitment to Cults and Sects	Rodney Stark, William Sims Bainbridge	American Journal of Sociology	85	6	1980-05-01T00:00:00Z	pp. 1376-1395	The University of Chicago Press	fla		A long tradition in social science explains recruitment to religious cults and sects on the basis of a congruence between the ideology of a group and the deprivations of those who join. A more recent approach to recruitment argues that interpersonal bonds between members and potential recruits are the essential element. In this paper we first show that these are complementary, not competing, approaches. Then, because the available evidential base for the role of interpersonal bonds is limited and qualitative, we present quantitative data pertaining to three quite different radical religious groups. In each case there is overwhelming support for the crucial role played by social networks in the formation and growth of such groups. Next we seek the boundaries of this phenomenon.Available studies suggest that not merely cult and sect recruitment, but commitment to conventional faiths as well, is supported by social networks.However, networks do not seem to play an important role in acceptance of mildly deviant occult beliefs. Belief in seances and tarot cards, for example, seems to spread via the mass media with little mediation by social networks. We discuss the implications of these findings for a theory of cult and sect recruitment.	
10.2307/2777604	10.2307/2777604	Errata: Comparative Urban Structure: Studies in the Ecology of Cities		American Journal of Sociology	81	4	1976-01-01T00:00:00Z	p. 904	The University of Chicago Press	fla			
10.2307/2782509	10.2307/2782509	Institutional Perspectives on Sociology	Joan Huber	American Journal of Sociology	101	1	1995-07-01T00:00:00Z	pp. 194-216	The University of Chicago Press	fla		Persistent fiscal constraints in higher education pose special risks for sociology. The organization of academia gives all departments problems in self-governance. But these problems are intensified for sociology by features that can be sources of both strength and weakness (e.g., an affinity for students with agendas of reform and radical criticism) and that tend to attract critical attention from administrators and make it hard for sociologists to agree how to respond to external threats. The expansion of the American Sociological Association's activities beyond its original focus exacerbates the difficulties of dealing with disciplinary issues and reaching consensual strategies to confront them.	
10.2307/2778817	10.2307/2778817	Structural Blockage: A Cross-National Study of Economic Dependency, State Efficacy, and Underdevelopment	Jacques Delacroix, Charles C. Ragin	American Journal of Sociology	86	6	1981-05-01T00:00:00Z	pp. 1311-1347	The University of Chicago Press	fla		This cross-national study of the effects of dependency and state efficacy on development supports the "structural blockage" argument of dependency theory. According to this argument, international economic dependency impedes development in the more advanced countries of the periphery of the world capitalist system. In support of this argument, we show that two forms of participation in the world economy, the export of a small number of commodities and the export of primary products, obstruct development in advanced peripheral countries. The argument that these forms of participation in trade pose internal, structural obstacles to development is supported by evidence showing that state-sponsored institutional transformations outweigh the development-stunting influence of these forms of participation. On the basis of these findings, we argue against the divergent-development thesis implied in some dependency arguments.	
10.2307/2780648	10.2307/2780648	What's Class Got to Do with It? A Further Examination of Power-Control Theory	Gary F. Jensen, Kevin Thompson	American Journal of Sociology	95	4	1990-01-01T00:00:00Z	pp. 1009-1023	The University of Chicago Press	fla		In recent issues of this journal, J. Hagan, A. R. Gillis, and J. Simpson elaborate a power- control theory of common deliquency. They propose a positive relationship between neo-Marxist conceptions of class and common forms of delinquency, patterns of variation in gender differences by class, and intervening variables to explain these variations. An examination of class, gender, and delinquency in three U.S. data sets did not reveal the same patterns. A neo- Marxist categorization of the labor force was generally unrelated to common delinquency, and there was no evidence of paterned class-gender variations of the sort reported in their 1985 analysis. Gender differences by race were consistent with their theory, while racial differences were not. Moreover, an attempted reconstruction of data for the full set of household categories reported in the 1987 analysis raises important questions about the nature of class variations and the role of patriarchal imbalance in generating gender differences.	
10.2307/2779326	10.2307/2779326	"New-Class" and Cumulative Trend Explanations of the Liberal Political Attitudes of Professionals	Steven Brint	American Journal of Sociology	90	1	1984-07-01T00:00:00Z	pp. 30-71	The University of Chicago Press	fla		Recent discussions of political divisions in American society have sometimes highlighted the rise of a "new class" of salaried professionals and technically trained managers. New-class theorists have depicted these "knowledge workers" as engaged in a contest for power and status with traditionally powerful business elites. However, the liberal attitudes of knowledge workers may also be interpreted as the result of a conjunction of several general trends in American society that have had little to do with class antagonisms. According to this paper, even though left-of-center attitudes are not uncommon in the salaried professional categories, these attitudes tend to be more ferormist than antibusiness in character. Such dissent as exists is concentrated in particular occupational, cohort, and sectoral categories and has varied considerably over time. Only the younger specialists in social science and arts-related occupations beging to fit the image of an "oppositional intelligentsia" used by the theorists to characterize the new class at large. The data are more consistent with cumulative-trend explanations of upper-white-collar liberalism and dissent. Nevertheless, the consistent net association of the key new-class category, the higher levels of education, with political liberalism leaves room for continued thinking about political cultural conflic within a new-class framework.	
10.2307/2778146	10.2307/2778146	Community-Elite Influence Structures: Extension of a Network Approach	Edward O. Laumann, Peter V. Marsden, Joseph Galaskiewicz	American Journal of Sociology	83	3	1977-11-01T00:00:00Z	pp. 594-631	The University of Chicago Press	fla		The conception of community leadership structure as a regularized pattern of communication and exchange of information pertinent to community affairs among members of a community elite, proposed by Laumann and Pappi (1973-1976), is extended in several related direcions. First, the network of regularized communication contact is related to issue-specific discussion patterns and to outcome preference and activation on specific issues. Our anlysis indicates that our measure of the routinized community-affairs discussion network is valid in that it represents a distillation of contact patterns that exist with regard to a variety of specific issues. Moreover, discussion contacts among the elite on routine, instrumental issues are found to be more closely reflected in the regularized network than are such contacts on unique, value-laden consummatory issues. We also find a moderated degree of "institutionalization" of contact patterns and support for an instrumentally orientad "bargaining" model of issue resolution in two American communities. Cross-community variations in bases of communication contact discussed in the latter part of the paper suggest that such a model may be associated with the use of business/professional ties in an influence structure, while an "oppositional" model may be characteristics of communities in which contact patterns are rooted in informal social relations.	
10.2307/2778745	10.2307/2778745	On the Microfoundations of Macrosociology	Randall Collins	American Journal of Sociology	86	5	1981-03-01T00:00:00Z	pp. 984-1014	The University of Chicago Press	fla		Detailed microsociological studies of everyday life activity raise the challenge of making macrosociological concepts fully empirical by traslating them into aggregates of micro-events. Micro-evidence and theoretical critiques indicate that human cognitive capacity is limited. Hence actor facing complex contingencies rely largely upon tacit assumptions and routine. The routines of physical property and organizational authority are upheld by actors' tacit monitoring of social coalitions. Individuals continuously negotiate such coalitions in chains of interaction rituals in which conversations create symbols of group membership. Every encounter is a marketpace in which individuals tacitly match conversational and emotional resources acquire from previous encounters. Individuals are motivated to move toward those ritual encounters in which their microresources pay the greatest emotional returns until they reach personal equilibrium points at which their emotional returns stabilize or decline. Large-scale changes in social structure are produced by aggregate changes in the three types of microresources: increases in generalized culture due to new communications media or specialized culture-producing activities; new "techologies" of emotional production; and new particularized cultures (individual reputations) due to dramatic, usually conflictual, events. A method of macrosampling the distribution of microresources is proposed.	
10.2307/2777340	10.2307/2777340	A General Framework for Building Dynamic Macro Social Indicator Models: Including an Analysis of Changes in Crime Rates and Police Expenditures	Kenneth C. Land, Marcus Felson	American Journal of Sociology	82	3	1976-11-01T00:00:00Z	pp. 565-604	The University of Chicago Press	fla		It is generally agreed that social indicators are measures of social conditions. Accordinlgy, recent interest in measuring social conditions and in building models of how various social forces determine changes in social conditions was predated by work of William F. Ogburn and his collaborators over 50 years ago. In this paper, we argue for a revival of analyses of social change based upon time series of indices of social conditions. To provide a general paradigm for this type of analysis, we describe (1) an opportunity-structures theoretical framework for generating specifications of equations of dynamic macro social indicator models, (2) a demographic accounting framework for grounding such equations in population stocks and flows, and (3) a structural equation strategy for estimating and evaluating the resulting models. To illustrate this paradigm, we present analyses of three equation determining changes in the national reported property crime rate, the reported violent crime rate, and the rate of public police expenditures. The equations fit annual 1947-72 time-series data well, yield theoretically meaningful coefficients, and lack demonstrable autocorrelation of disturbances. Moreover, the conditional forecasts of the 1973 values of the reported crime rates fall well within bounds set by the standard errors of the equations.	
10.2307/2780243	10.2307/2780243	Social Capital in the Creation of Human Capital	James S. Coleman	American Journal of Sociology	94		1988-01-01T00:00:00Z	pp. S95-S120	The University of Chicago Press	fla		In this paper, the concept of social capital is introduced and illustrated, its forms are described, the social structural conditions under which it arises are examined, and it is used in an analysis of dropouts from high school. Use of the concept of social capital is part of a general theoretical strategy discussed in the paper: taking rational action as a starting point but rejecting the extreme individualistic premises that often accompany it. The conception of social capital as a resource for action is one way of introducing social structure into the rational action paradigm. Three forms of social capital are examined: obligations and expectations, information channels, and social norms. The role of closure in the social structure in facilitating the first and third of these forms of social capital is described. An analysis of the effect of the lack of social capital available to high school sophomores on dropping out of school before graduation is carried out. The effect of social capital within the family and in the community outside the family is examined.	
10.2307/2779635	10.2307/2779635	Cultural Capital, Educational Attainment, and Marital Selection	Paul DiMaggio, John Mohr	American Journal of Sociology	90	6	1985-05-01T00:00:00Z	pp. 1231-1261	The University of Chicago Press	fla		Although Weber distinguished sharply between "class" (an individual's market position) and "status" (participation in a collectivity bound together by a shared status culture), only measures of the former have been included in most empirical analyses of the stratification process. In this article a measure of status-culture participation (or cultural capital) is developed from the responses of men and women interviewed in 1960 by Project Talent. Questions tapped a range of high-cultural interests and activities. Analyses of data from a follow-up study 11 years later show significant effects of cultural capital (with appropriate controls) on educational attainment, college attendence, college completion, graduate attendance, and marital selection for both men and women.	
10.2307/2780735	10.2307/2780735	Legal Custody Arrangements and Children's Economic Welfare	Judith A. Seltzer	American Journal of Sociology	96	4	1991-01-01T00:00:00Z	pp. 895-929	The University of Chicago Press	fla		This article investigates the effects of legal custody arrangements on the amount of child support fathers pay after divorce, contrasting the experiences of families in which parents share authority over children through jont legal custody and those in which mothers have sole legal custody. It argues that join legal custody encourages similarities between the way divorced fathers and fathers in two-parent households invest in their children. The analysis used data from a representative sample of recent divorces, in which children live with their mothers, to explore the relationship between legal custody and legal child-support obligations (awards) and to investigate the effects of the type of custody on child-support payments. Joint legal custody is associated with higher support awards, but the association is explained by the higher incomes of fathers with joint custody. Legal custody arrangements do not affect levels of child-support payments when family characteristics and the amont of child support awarded at divorce are taken into account. Legal custody does,however, alter the process governing fathers' contributions to child support. Parents' incomes have a larger effect, and child-supprt awards a smaller one, on payments among families with joint legal custody, suggesting that joint legal custody may allow fathers greater discretion about contributions to child support. By stengthening ties between divorced fathers and children, join legal custody may increase the correspondence between parents' and children's socioeconomic status and result in greater inequality among children of divorce.	
